,wt_hr_true,wt_hr
2014-09-29 19:00:00,66.6,48.7611111111111
2014-09-29 20:00:00,68.9,52.18148148148148
2014-09-29 21:00:00,70.5,54.65925925925926
2014-09-29 22:00:00,72.2,56.159259259259265
2014-09-29 23:00:00,72.6,57.78363636363637
2014-09-30 00:00:00,73.6,57.75714285714286
2014-09-30 01:00:00,74.3,58.857142857142854
2014-09-30 02:00:00,74.3,60.11071428571429
2014-09-30 03:00:00,73.9,60.38214285714285
2014-09-30 04:00:00,72.6,60.683928571428574
2014-09-30 05:00:00,73.1,62.04285714285714
2014-09-30 06:00:00,73.2,63.128571428571426
2014-09-30 07:00:00,72.4,63.082142857142856
2014-09-30 08:00:00,67.7,60.620000000000005
2014-09-30 09:00:00,60.9,56.50545454545455
2014-09-30 10:00:00,56.4,51.88727272727273
2014-09-30 11:00:00,55.8,46.35272727272727
2014-09-30 12:00:00,55.2,41.21272727272728
2014-09-30 13:00:00,50.0,37.86727272727273
2014-09-30 14:00:00,44.6,36.88909090909091
2014-09-30 15:00:00,38.0,36.625454545454545
2014-09-30 16:00:00,35.8,38.32000000000001
2014-09-30 17:00:00,41.0,41.51111111111111
2014-09-30 18:00:00,56.3,45.218518518518515
2014-09-30 19:00:00,59.9,48.7611111111111
2014-09-30 20:00:00,59.4,52.18148148148148
2014-09-30 21:00:00,57.9,54.65925925925926
2014-09-30 22:00:00,55.6,56.159259259259265
2014-09-30 23:00:00,53.5,57.78363636363637
2014-10-01 00:00:00,52.1,53.166666666666664
2014-10-01 01:00:00,52.0,54.574999999999996
2014-10-01 02:00:00,52.5,55.86944444444444
2014-10-01 03:00:00,53.8,56.75428571428571
2014-10-01 04:00:00,57.6,58.51428571428571
2014-10-01 05:00:00,62.4,60.857142857142854
2014-10-01 06:00:00,64.0,63.165714285714294
2014-10-01 07:00:00,59.3,64.34571428571427
2014-10-01 08:00:00,51.3,63.245714285714286
2014-10-01 09:00:00,47.5,59.82857142857143
2014-10-01 10:00:00,49.3,55.09714285714286
2014-10-01 11:00:00,45.4,49.36764705882353
2014-10-01 12:00:00,44.9,45.02571428571428
2014-10-01 13:00:00,40.1,41.71388888888888
2014-10-01 14:00:00,36.7,40.008108108108104
2014-10-01 15:00:00,34.0,38.665789473684214
2014-10-01 16:00:00,33.2,39.42972972972973
2014-10-01 17:00:00,37.7,42.14444444444444
2014-10-01 18:00:00,44.5,43.924324324324324
2014-10-01 19:00:00,46.5,47.06756756756757
2014-10-01 20:00:00,46.4,49.567567567567565
2014-10-01 21:00:00,45.9,51.28648648648649
2014-10-01 22:00:00,45.3,51.91111111111111
2014-10-01 23:00:00,44.2,52.625
2014-10-02 00:00:00,43.8,53.166666666666664
2014-10-02 01:00:00,44.3,54.574999999999996
2014-10-02 02:00:00,45.6,55.86944444444444
2014-10-02 03:00:00,46.5,56.75428571428571
2014-10-02 04:00:00,48.1,58.51428571428571
2014-10-02 05:00:00,49.5,60.857142857142854
2014-10-02 06:00:00,51.9,63.165714285714294
2014-10-02 07:00:00,51.7,64.34571428571427
2014-10-02 08:00:00,50.9,63.245714285714286
2014-10-02 09:00:00,49.7,59.82857142857143
2014-10-02 10:00:00,48.7,55.09714285714286
2014-10-02 11:00:00,48.0,49.36764705882353
2014-10-02 12:00:00,45.4,45.02571428571428
2014-10-02 13:00:00,42.6,41.71388888888888
2014-10-02 14:00:00,38.7,40.008108108108104
2014-10-02 15:00:00,35.3,38.665789473684214
2014-10-02 16:00:00,34.9,39.42972972972973
2014-10-02 17:00:00,41.8,42.14444444444444
2014-10-02 18:00:00,49.1,43.924324324324324
2014-10-02 19:00:00,49.5,47.06756756756757
2014-10-02 20:00:00,47.7,49.567567567567565
2014-10-02 21:00:00,45.0,51.28648648648649
2014-10-02 22:00:00,45.4,51.91111111111111
2014-10-02 23:00:00,44.3,52.625
2014-10-03 00:00:00,44.0,53.166666666666664
2014-10-03 01:00:00,44.2,54.574999999999996
2014-10-03 02:00:00,45.1,55.86944444444444
2014-10-03 03:00:00,46.8,56.75428571428571
2014-10-03 04:00:00,49.1,58.51428571428571
2014-10-03 05:00:00,51.0,60.857142857142854
2014-10-03 06:00:00,52.5,63.165714285714294
2014-10-03 07:00:00,56.3,64.34571428571427
2014-10-03 08:00:00,52.1,63.245714285714286
2014-10-03 09:00:00,48.7,59.82857142857143
2014-10-03 10:00:00,48.4,55.09714285714286
2014-10-03 11:00:00,43.8,49.36764705882353
2014-10-03 12:00:00,38.2,45.02571428571428
2014-10-03 13:00:00,31.4,41.71388888888888
2014-10-03 14:00:00,30.8,40.008108108108104
2014-10-03 15:00:00,36.9,38.665789473684214
2014-10-03 16:00:00,47.3,39.42972972972973
2014-10-03 17:00:00,43.9,42.14444444444444
2014-10-03 18:00:00,46.1,43.924324324324324
2014-10-03 19:00:00,44.9,47.06756756756757
2014-10-03 20:00:00,43.2,49.567567567567565
2014-10-03 21:00:00,41.2,51.28648648648649
