,wt_max_windgust_true,wt_max_windgust
2014-03-19 10:00:00,3.0,5.078181818181819
2014-03-19 11:00:00,3.0,5.276363636363638
2014-03-19 12:00:00,3.0,5.916363636363638
2014-03-19 13:00:00,4.0,6.021818181818183
2014-03-19 14:00:00,4.5,6.503636363636365
2014-03-19 15:00:00,5.0,6.180000000000002
2014-03-19 16:00:00,5.3,5.81818181818182
2014-03-19 17:00:00,5.8,5.680000000000001
2014-03-19 18:00:00,8.3,5.1
2014-03-19 19:00:00,8.3,4.576363636363636
2014-03-19 20:00:00,5.8,4.5600000000000005
2014-03-19 21:00:00,2.8,4.165454545454546
2014-03-19 22:00:00,2.3,4.062962962962963
2014-03-19 23:00:00,4.0,3.8722222222222227
2014-03-20 00:00:00,4.8,3.6555555555555563
2014-03-20 01:00:00,4.0,3.19423076923077
2014-03-20 02:00:00,2.5,3.9148148148148154
2014-03-20 03:00:00,4.0,4.1000000000000005
2014-03-20 04:00:00,4.5,3.690740740740741
2014-03-20 05:00:00,3.0,3.9462962962962966
2014-03-20 06:00:00,5.0,4.033333333333333
2014-03-20 07:00:00,4.8,4.483636363636364
2014-03-20 08:00:00,4.8,4.680000000000001
2014-03-20 09:00:00,5.5,5.112727272727272
2014-03-20 10:00:00,5.0,5.078181818181819
2014-03-20 11:00:00,5.3,5.276363636363638
2014-03-20 12:00:00,4.8,5.916363636363638
2014-03-20 13:00:00,4.8,6.021818181818183
2014-03-20 14:00:00,4.8,6.503636363636365
2014-03-20 15:00:00,9.3,6.180000000000002
2014-03-20 16:00:00,7.8,5.81818181818182
2014-03-20 17:00:00,8.3,5.680000000000001
2014-03-20 18:00:00,8.8,5.1
2014-03-20 19:00:00,7.8,4.576363636363636
2014-03-20 20:00:00,7.0,4.5600000000000005
2014-03-20 21:00:00,7.8,4.165454545454546
2014-03-20 22:00:00,7.0,4.062962962962963
2014-03-20 23:00:00,5.5,3.8722222222222227
2014-03-21 00:00:00,4.5,3.6555555555555563
2014-03-21 01:00:00,4.5,3.19423076923077
2014-03-21 02:00:00,3.8,3.9148148148148154
2014-03-21 03:00:00,3.3,4.1000000000000005
2014-03-21 04:00:00,2.8,3.690740740740741
2014-03-21 05:00:00,3.0,3.9462962962962966
2014-03-21 06:00:00,2.5,4.033333333333333
2014-03-21 07:00:00,2.8,4.483636363636364
2014-03-21 08:00:00,5.0,4.680000000000001
2014-03-21 09:00:00,5.0,5.112727272727272
2014-03-21 10:00:00,6.8,5.078181818181819
2014-03-21 11:00:00,6.5,5.276363636363638
2014-03-21 12:00:00,7.5,5.916363636363638
2014-03-21 13:00:00,8.1,6.021818181818183
2014-03-21 14:00:00,8.6,6.503636363636365
2014-03-21 15:00:00,7.8,6.180000000000002
2014-03-21 16:00:00,8.8,5.81818181818182
2014-03-21 17:00:00,7.5,5.680000000000001
2014-03-21 18:00:00,6.5,5.1
2014-03-21 19:00:00,7.3,4.576363636363636
2014-03-21 20:00:00,8.3,4.5600000000000005
2014-03-21 21:00:00,8.3,4.165454545454546
2014-03-21 22:00:00,5.8,4.062962962962963
2014-03-21 23:00:00,10.1,3.8722222222222227
2014-03-22 00:00:00,12.8,3.6555555555555563
2014-03-22 01:00:00,9.6,3.19423076923077
2014-03-22 02:00:00,9.6,3.9148148148148154
2014-03-22 03:00:00,10.8,4.1000000000000005
2014-03-22 04:00:00,10.1,3.690740740740741
2014-03-22 05:00:00,8.3,3.9462962962962966
2014-03-22 06:00:00,5.5,4.033333333333333
2014-03-22 07:00:00,4.8,4.483636363636364
2014-03-22 08:00:00,5.8,4.680000000000001
