,wt_mean_windspd_true,wt_mean_windspd
2014-09-29 19:00:00,5.4,2.55
2014-09-29 20:00:00,4.9,2.1685185185185185
2014-09-29 21:00:00,3.9,1.9592592592592595
2014-09-29 22:00:00,4.3,1.887037037037037
2014-09-29 23:00:00,3.5,1.7345454545454546
2014-09-30 00:00:00,3.5,1.9232142857142858
2014-09-30 01:00:00,3.9,1.8125
2014-09-30 02:00:00,4.6,1.8249999999999997
2014-09-30 03:00:00,4.6,1.7839285714285715
2014-09-30 04:00:00,4.9,1.6732142857142858
2014-09-30 05:00:00,4.4,1.5999999999999999
2014-09-30 06:00:00,4.2,1.5160714285714287
2014-09-30 07:00:00,4.7,1.3196428571428573
2014-09-30 08:00:00,4.6,1.5545454545454545
2014-09-30 09:00:00,3.9,1.6181818181818182
2014-09-30 10:00:00,3.5,1.4418181818181817
2014-09-30 11:00:00,4.7,1.629090909090909
2014-09-30 12:00:00,3.9,1.6963636363636365
2014-09-30 13:00:00,3.3,1.867272727272727
2014-09-30 14:00:00,3.0,2.2181818181818183
2014-09-30 15:00:00,2.3,2.3418181818181822
2014-09-30 16:00:00,2.4,2.450909090909091
2014-09-30 17:00:00,3.4,2.6166666666666667
2014-09-30 18:00:00,4.9,2.494444444444444
2014-09-30 19:00:00,5.9,2.55
2014-09-30 20:00:00,5.3,2.1685185185185185
2014-09-30 21:00:00,4.5,1.9592592592592595
2014-09-30 22:00:00,4.1,1.887037037037037
2014-09-30 23:00:00,4.0,1.7345454545454546
2014-10-01 00:00:00,4.7,1.4194444444444445
2014-10-01 01:00:00,4.5,1.3666666666666665
2014-10-01 02:00:00,4.0,1.3027777777777778
2014-10-01 03:00:00,3.5,1.2085714285714284
2014-10-01 04:00:00,3.6,1.217142857142857
2014-10-01 05:00:00,3.8,1.2485714285714287
2014-10-01 06:00:00,4.1,1.2428571428571429
2014-10-01 07:00:00,3.9,1.4828571428571429
2014-10-01 08:00:00,5.2,1.4885714285714284
2014-10-01 09:00:00,5.4,1.3457142857142856
2014-10-01 10:00:00,5.4,1.337142857142857
2014-10-01 11:00:00,5.2,1.1235294117647059
2014-10-01 12:00:00,4.5,1.3314285714285712
2014-10-01 13:00:00,4.8,1.3944444444444446
2014-10-01 14:00:00,4.5,1.454054054054054
2014-10-01 15:00:00,4.7,1.273684210526316
2014-10-01 16:00:00,4.8,1.32972972972973
2014-10-01 17:00:00,5.4,1.3833333333333333
2014-10-01 18:00:00,5.8,1.1972972972972973
2014-10-01 19:00:00,5.1,1.4135135135135135
2014-10-01 20:00:00,5.2,1.3837837837837839
2014-10-01 21:00:00,4.6,1.4108108108108106
2014-10-01 22:00:00,4.1,1.3777777777777778
2014-10-01 23:00:00,4.8,1.2638888888888888
2014-10-02 00:00:00,5.0,1.4194444444444445
2014-10-02 01:00:00,4.5,1.3666666666666665
2014-10-02 02:00:00,3.8,1.3027777777777778
2014-10-02 03:00:00,4.4,1.2085714285714284
2014-10-02 04:00:00,5.0,1.217142857142857
2014-10-02 05:00:00,4.6,1.2485714285714287
2014-10-02 06:00:00,4.5,1.2428571428571429
2014-10-02 07:00:00,4.6,1.4828571428571429
2014-10-02 08:00:00,4.3,1.4885714285714284
2014-10-02 09:00:00,3.2,1.3457142857142856
2014-10-02 10:00:00,3.0,1.337142857142857
2014-10-02 11:00:00,3.7,1.1235294117647059
2014-10-02 12:00:00,3.1,1.3314285714285712
2014-10-02 13:00:00,2.9,1.3944444444444446
2014-10-02 14:00:00,2.8,1.454054054054054
2014-10-02 15:00:00,2.7,1.273684210526316
2014-10-02 16:00:00,2.2,1.32972972972973
2014-10-02 17:00:00,3.2,1.3833333333333333
2014-10-02 18:00:00,4.8,1.1972972972972973
2014-10-02 19:00:00,4.6,1.4135135135135135
2014-10-02 20:00:00,4.2,1.3837837837837839
2014-10-02 21:00:00,4.1,1.4108108108108106
2014-10-02 22:00:00,3.5,1.3777777777777778
2014-10-02 23:00:00,3.5,1.2638888888888888
2014-10-03 00:00:00,3.1,1.4194444444444445
2014-10-03 01:00:00,3.3,1.3666666666666665
2014-10-03 02:00:00,3.3,1.3027777777777778
2014-10-03 03:00:00,1.7,1.2085714285714284
2014-10-03 04:00:00,2.8,1.217142857142857
2014-10-03 05:00:00,2.3,1.2485714285714287
2014-10-03 06:00:00,1.8,1.2428571428571429
2014-10-03 07:00:00,1.5,1.4828571428571429
2014-10-03 08:00:00,2.9,1.4885714285714284
2014-10-03 09:00:00,3.1,1.3457142857142856
2014-10-03 10:00:00,2.4,1.337142857142857
2014-10-03 11:00:00,1.5,1.1235294117647059
2014-10-03 12:00:00,1.7,1.3314285714285712
2014-10-03 13:00:00,1.0,1.3944444444444446
2014-10-03 14:00:00,1.2,1.454054054054054
2014-10-03 15:00:00,2.9,1.273684210526316
2014-10-03 16:00:00,3.7,1.32972972972973
2014-10-03 17:00:00,4.6,1.3833333333333333
2014-10-03 18:00:00,5.6,1.1972972972972973
2014-10-03 19:00:00,5.1,1.4135135135135135
2014-10-03 20:00:00,4.8,1.3837837837837839
2014-10-03 21:00:00,4.9,1.4108108108108106
2014-10-03 22:00:00,3.9,1.3777777777777778
2014-10-03 23:00:00,3.2,1.2638888888888888
2014-10-04 00:00:00,3.8,1.4194444444444445
2014-10-04 01:00:00,4.0,1.3666666666666665
2014-10-04 02:00:00,3.9,1.3027777777777778
2014-10-04 03:00:00,4.6,1.2085714285714284
2014-10-04 04:00:00,4.0,1.217142857142857
2014-10-04 05:00:00,5.2,1.2485714285714287
2014-10-04 06:00:00,4.3,1.2428571428571429
2014-10-04 07:00:00,4.2,1.4828571428571429
2014-10-04 08:00:00,4.3,1.4885714285714284
2014-10-04 09:00:00,5.4,1.3457142857142856
2014-10-04 10:00:00,5.7,1.337142857142857
2014-10-04 11:00:00,4.8,1.1235294117647059
2014-10-04 12:00:00,5.8,1.3314285714285712
2014-10-04 13:00:00,6.1,1.3944444444444446
2014-10-04 14:00:00,7.1,1.454054054054054
2014-10-04 15:00:00,6.9,1.273684210526316
2014-10-04 16:00:00,5.9,1.32972972972973
2014-10-04 17:00:00,3.8,1.3833333333333333
2014-10-04 18:00:00,6.6,1.1972972972972973
2014-10-04 19:00:00,8.5,1.4135135135135135
2014-10-04 20:00:00,9.5,1.3837837837837839
2014-10-04 21:00:00,7.8,1.4108108108108106
2014-10-04 22:00:00,7.0,1.3777777777777778
2014-10-04 23:00:00,7.6,1.2638888888888888
2014-10-05 00:00:00,6.6,1.4194444444444445
2014-10-05 01:00:00,5.4,1.3666666666666665
2014-10-05 02:00:00,4.5,1.3027777777777778
2014-10-05 03:00:00,6.3,1.2085714285714284
2014-10-05 04:00:00,6.5,1.217142857142857
2014-10-05 05:00:00,4.8,1.2485714285714287
2014-10-05 06:00:00,3.0,1.2428571428571429
2014-10-05 07:00:00,3.3,1.4828571428571429
2014-10-05 08:00:00,3.6,1.4885714285714284
2014-10-05 09:00:00,4.4,1.3457142857142856
2014-10-05 10:00:00,5.8,1.337142857142857
2014-10-05 11:00:00,6.8,1.1235294117647059
2014-10-05 12:00:00,7.9,1.3314285714285712
2014-10-05 13:00:00,7.5,1.3944444444444446
2014-10-05 14:00:00,7.5,1.454054054054054
2014-10-05 15:00:00,7.0,1.273684210526316
2014-10-05 16:00:00,7.2,1.32972972972973
2014-10-05 17:00:00,7.3,1.3833333333333333
2014-10-05 18:00:00,6.2,1.1972972972972973
2014-10-05 19:00:00,5.6,1.4135135135135135
2014-10-05 20:00:00,5.4,1.3837837837837839
2014-10-05 21:00:00,4.9,1.4108108108108106
2014-10-05 22:00:00,3.8,1.3777777777777778
2014-10-05 23:00:00,3.7,1.2638888888888888
2014-10-06 00:00:00,5.1,1.4194444444444445
2014-10-06 01:00:00,4.6,1.3666666666666665
2014-10-06 02:00:00,3.4,1.3027777777777778
2014-10-06 03:00:00,2.8,1.2085714285714284
2014-10-06 04:00:00,1.7,1.217142857142857
2014-10-06 05:00:00,2.9,1.2485714285714287
2014-10-06 06:00:00,3.3,1.2428571428571429
2014-10-06 07:00:00,1.9,1.4828571428571429
2014-10-06 08:00:00,1.6,1.4885714285714284
2014-10-06 09:00:00,1.5,1.3457142857142856
2014-10-06 10:00:00,2.0,1.337142857142857
2014-10-06 11:00:00,2.7,1.1235294117647059
2014-10-06 12:00:00,3.2,1.3314285714285712
2014-10-06 13:00:00,4.8,1.3944444444444446
2014-10-06 14:00:00,3.6,1.454054054054054
2014-10-06 15:00:00,4.6,1.273684210526316
2014-10-06 16:00:00,4.5,1.32972972972973
2014-10-06 17:00:00,4.2,1.3833333333333333
2014-10-06 18:00:00,4.3,1.1972972972972973
2014-10-06 19:00:00,3.5,1.4135135135135135
2014-10-06 20:00:00,3.2,1.3837837837837839
2014-10-06 21:00:00,3.8,1.4108108108108106
2014-10-06 22:00:00,3.6,1.3777777777777778
2014-10-06 23:00:00,2.9,1.2638888888888888
2014-10-07 00:00:00,1.8,1.4194444444444445
2014-10-07 01:00:00,1.2,1.3666666666666665
2014-10-07 02:00:00,2.3,1.3027777777777778
2014-10-07 03:00:00,1.2,1.2085714285714284
2014-10-07 04:00:00,1.3,1.217142857142857
2014-10-07 05:00:00,1.8,1.2485714285714287
2014-10-07 06:00:00,3.6,1.2428571428571429
2014-10-07 07:00:00,4.6,1.4828571428571429
2014-10-07 08:00:00,3.3,1.4885714285714284
2014-10-07 09:00:00,3.0,1.3457142857142856
2014-10-07 10:00:00,4.3,1.337142857142857
2014-10-07 11:00:00,5.4,1.1235294117647059
2014-10-07 12:00:00,6.3,1.3314285714285712
2014-10-07 13:00:00,5.5,1.3944444444444446
2014-10-07 14:00:00,4.5,1.454054054054054
2014-10-07 15:00:00,5.6,1.273684210526316
2014-10-07 16:00:00,5.3,1.32972972972973
2014-10-07 17:00:00,4.8,1.3833333333333333
2014-10-07 18:00:00,4.5,1.1972972972972973
2014-10-07 19:00:00,4.0,1.4135135135135135
2014-10-07 20:00:00,3.7,1.3837837837837839
2014-10-07 21:00:00,4.6,1.4108108108108106
2014-10-07 22:00:00,4.4,1.3777777777777778
2014-10-07 23:00:00,4.0,1.2638888888888888
2014-10-08 00:00:00,3.9,1.4194444444444445
2014-10-08 01:00:00,4.2,1.3666666666666665
2014-10-08 02:00:00,4.8,1.3027777777777778
2014-10-08 03:00:00,4.9,1.2085714285714284
2014-10-08 04:00:00,5.5,1.217142857142857
2014-10-08 05:00:00,6.0,1.2485714285714287
2014-10-08 06:00:00,5.9,1.2428571428571429
2014-10-08 07:00:00,5.5,1.4828571428571429
2014-10-08 08:00:00,5.2,1.4885714285714284
2014-10-08 09:00:00,6.7,1.3457142857142856
2014-10-08 10:00:00,7.7,1.337142857142857
2014-10-08 11:00:00,8.1,1.1235294117647059
2014-10-08 12:00:00,8.2,1.3314285714285712
2014-10-08 13:00:00,7.5,1.3944444444444446
2014-10-08 14:00:00,7.6,1.454054054054054
2014-10-08 15:00:00,7.9,1.273684210526316
2014-10-08 16:00:00,7.5,1.32972972972973
2014-10-08 17:00:00,6.0,1.3833333333333333
2014-10-08 18:00:00,5.4,1.1972972972972973
2014-10-08 19:00:00,5.0,1.4135135135135135
2014-10-08 20:00:00,4.2,1.3837837837837839
