,wt_mean_pres_true,wt_mean_pres
2014-02-15 21:00:00,1019.0,1016.9395009248333
2014-02-15 22:00:00,1019.0,1016.9705143102999
2014-02-15 23:00:00,1019.4,1017.0015276957668
2014-02-16 00:00:00,1020.0,1016.1734318605585
2014-02-16 01:00:00,1020.0,1016.2044452460251
2014-02-16 02:00:00,1020.0,1016.2354586314918
2014-02-16 03:00:00,1019.5,1016.2664720169586
2014-02-16 04:00:00,1019.8,1016.2974854024253
2014-02-16 05:00:00,1020.0,1016.328498787892
2014-02-16 06:00:00,1020.0,1016.3595121733588
2014-02-16 07:00:00,1020.0,1016.3905255588254
2014-02-16 08:00:00,1021.0,1016.4215389442923
2014-02-16 09:00:00,1021.8,1016.4525523297589
2014-02-16 10:00:00,1022.0,1016.4835657152256
2014-02-16 11:00:00,1021.1,1016.5145791006923
2014-02-16 12:00:00,1021.0,1016.5455924861591
2014-02-16 13:00:00,1020.0,1016.5766058716258
2014-02-16 14:00:00,1019.0,1016.6076192570926
2014-02-16 15:00:00,1018.4,1016.6386326425593
2014-02-16 16:00:00,1018.0,1016.6696460280259
2014-02-16 17:00:00,1018.0,1016.7006594134926
2014-02-16 18:00:00,1018.0,1016.7316727989594
2014-02-16 19:00:00,1018.4,1016.7626861844261
2014-02-16 20:00:00,1018.0,1016.7936995698929
2014-02-16 21:00:00,1018.0,1016.8247129553596
2014-02-16 22:00:00,1018.0,1016.8557263408263
2014-02-16 23:00:00,1018.0,1016.8867397262931
2014-02-17 00:00:00,1017.1,1016.8621596774007
2014-02-17 01:00:00,1016.4,1016.8931730628674
2014-02-17 02:00:00,1015.8,1016.9241864483341
2014-02-17 03:00:00,1014.9,1016.9551998338009
2014-02-17 04:00:00,1013.9,1016.9862132192675
2014-02-17 05:00:00,1012.9,1017.0172266047342
2014-02-17 06:00:00,1012.9,1017.048239990201
2014-02-17 07:00:00,1012.9,1017.0792533756677
2014-02-17 08:00:00,1012.5,1017.1102667611344
2014-02-17 09:00:00,1012.2,1017.1412801466012
2014-02-17 10:00:00,1012.1,1017.1722935320679
2014-02-17 11:00:00,1012.0,1017.2033069175345
2014-02-17 12:00:00,1011.5,1017.2343203030013
2014-02-17 13:00:00,1011.0,1017.265333688468
2014-02-17 14:00:00,1010.8,1017.2963470739347
2014-02-17 15:00:00,1010.2,1017.3273604594015
2014-02-17 16:00:00,1011.0,1017.3583738448682
2014-02-17 17:00:00,1011.3,1017.3893872303349
2014-02-17 18:00:00,1012.1,1017.4204006158017
2014-02-17 19:00:00,1013.0,1017.4514140012684
2014-02-17 20:00:00,1013.5,1017.482427386735
2014-02-17 21:00:00,1014.5,1017.5134407722018
2014-02-17 22:00:00,1015.0,1017.5444541576685
2014-02-17 23:00:00,1015.6,1017.5754675431352
2014-02-18 00:00:00,1016.0,1016.747371707927
2014-02-18 01:00:00,1016.0,1016.7783850933937
2014-02-18 02:00:00,1016.0,1016.8093984788604
2014-02-18 03:00:00,1016.0,1016.8404118643272
2014-02-18 04:00:00,1016.0,1016.8714252497938
2014-02-18 05:00:00,1016.0,1016.9024386352605
2014-02-18 06:00:00,1016.6,1016.9334520207273
2014-02-18 07:00:00,1017.4,1016.964465406194
2014-02-18 08:00:00,1018.0,1016.9954787916607
2014-02-18 09:00:00,1018.9,1017.0264921771275
2014-02-18 10:00:00,1019.0,1017.0575055625942
2014-02-18 11:00:00,1019.3,1017.0885189480609
2014-02-18 12:00:00,1020.0,1017.1195323335276
2014-02-18 13:00:00,1020.0,1017.1505457189943
2014-02-18 14:00:00,1020.0,1017.181559104461
2014-02-18 15:00:00,1020.0,1017.2125724899278
2014-02-18 16:00:00,1020.0,1017.2435858753945
2014-02-18 17:00:00,1020.4,1017.2745992608611
2014-02-18 18:00:00,1021.4,1017.3056126463279
2014-02-18 19:00:00,1022.0,1017.3366260317947
2014-02-18 20:00:00,1023.0,1017.3676394172613
2014-02-18 21:00:00,1023.4,1017.3986528027281
2014-02-18 22:00:00,1024.0,1017.4296661881948
2014-02-18 23:00:00,1024.0,1017.4606795736615
2014-02-19 00:00:00,1024.0,1016.6325837384533
2014-02-19 01:00:00,1024.0,1016.66359712392
2014-02-19 02:00:00,1024.0,1016.6946105093867
2014-02-19 03:00:00,1024.1,1016.7256238948534
2014-02-19 04:00:00,1024.0,1016.7566372803201
2014-02-19 05:00:00,1024.3,1016.7876506657868
2014-02-19 06:00:00,1025.0,1016.8186640512536
2014-02-19 07:00:00,1025.0,1016.8496774367203
2014-02-19 08:00:00,1026.0,1016.880690822187
2014-02-19 09:00:00,1026.0,1016.9117042076538
2014-02-19 10:00:00,1026.0,1016.9427175931205
2014-02-19 11:00:00,1026.0,1016.9737309785871
2014-02-19 12:00:00,1026.0,1017.0047443640539
2014-02-19 13:00:00,1025.5,1017.0357577495206
2014-02-19 14:00:00,1025.0,1017.0667711349873
2014-02-19 15:00:00,1024.9,1017.0977845204541
2014-02-19 16:00:00,1024.8,1017.1287979059208
2014-02-19 17:00:00,1025.0,1017.1598112913875
2014-02-19 18:00:00,1025.7,1017.1908246768542
2014-02-19 19:00:00,1026.0,1017.2218380623209
2014-02-19 20:00:00,1026.0,1017.2528514477876
2014-02-19 21:00:00,1026.3,1017.2838648332544
2014-02-19 22:00:00,1027.0,1017.3148782187211
2014-02-19 23:00:00,1027.0,1017.3458916041878
2014-02-20 00:00:00,1026.1,1016.5177957689796
2014-02-20 01:00:00,1026.0,1016.5488091544462
2014-02-20 02:00:00,1026.0,1016.5798225399129
2014-02-20 03:00:00,1025.1,1016.6108359253797
2014-02-20 04:00:00,1025.0,1016.6418493108464
2014-02-20 05:00:00,1025.0,1016.6728626963131
2014-02-20 06:00:00,1025.0,1016.7038760817799
2014-02-20 07:00:00,1025.0,1016.7348894672466
2014-02-20 08:00:00,1025.0,1016.7659028527133
2014-02-20 09:00:00,1025.0,1016.79691623818
2014-02-20 10:00:00,1025.0,1016.8279296236468
2014-02-20 11:00:00,1025.0,1016.8589430091134
2014-02-20 12:00:00,1024.5,1016.8899563945802
2014-02-20 13:00:00,1023.4,1016.9209697800469
2014-02-20 14:00:00,1022.8,1016.9519831655136
2014-02-20 15:00:00,1022.0,1016.9829965509804
2014-02-20 16:00:00,1022.8,1017.014009936447
2014-02-20 17:00:00,1023.0,1017.0450233219137
2014-02-20 18:00:00,1023.6,1017.0760367073805
2014-02-20 19:00:00,1024.2,1017.1070500928472
2014-02-20 20:00:00,1025.0,1017.1380634783139
2014-02-20 21:00:00,1025.0,1017.1690768637807
2014-02-20 22:00:00,1025.4,1017.2000902492474
2014-02-20 23:00:00,1025.2,1017.2311036347141
2014-02-21 00:00:00,1025.0,1016.4030077995059
2014-02-21 01:00:00,1025.0,1016.4340211849726
2014-02-21 02:00:00,1025.0,1016.4650345704392
2014-02-21 03:00:00,1025.0,1016.496047955906
