,wt_mean_solarrad_true,wt_mean_solarrad
2014-02-15 21:00:00,1.0,211.8225729922624
2014-02-15 22:00:00,1.0,210.37348047153955
2014-02-15 23:00:00,1.0,208.92438795081898
2014-02-16 00:00:00,0.9,242.74185083647853
2014-02-16 01:00:00,0.9,241.29275831575433
2014-02-16 02:00:00,0.9,239.84366579503057
2014-02-16 03:00:00,0.9,238.39457327431
2014-02-16 04:00:00,0.9,236.9454807535849
2014-02-16 05:00:00,1.0,235.49638823286205
2014-02-16 06:00:00,0.8,234.04729571214148
2014-02-16 07:00:00,13.4,232.598203191415
2014-02-16 08:00:00,138.5,231.14911067069352
2014-02-16 09:00:00,311.2,229.70001814996976
2014-02-16 10:00:00,467.9,228.25092562924738
2014-02-16 11:00:00,527.1,226.80183310852453
2014-02-16 12:00:00,393.7,225.35274058780215
2014-02-16 13:00:00,380.7,223.90364806707748
2014-02-16 14:00:00,417.4,222.45455554635555
2014-02-16 15:00:00,473.8,221.00546302563316
2014-02-16 16:00:00,300.3,219.55637050490895
2014-02-16 17:00:00,94.6,218.10727798418702
2014-02-16 18:00:00,4.7,216.65818546346281
2014-02-16 19:00:00,1.1,215.20909294273906
2014-02-16 20:00:00,1.0,213.76000042201758
2014-02-16 21:00:00,1.0,212.31090790129474
2014-02-16 22:00:00,1.0,210.86181538057053
2014-02-16 23:00:00,1.0,209.41272285984905
2014-02-17 00:00:00,1.0,239.81184138229492
2014-02-17 01:00:00,0.9,238.36274886157162
2014-02-17 02:00:00,1.0,236.91365634084832
2014-02-17 03:00:00,0.8,235.46456382012593
2014-02-17 04:00:00,0.9,234.0154712994031
2014-02-17 05:00:00,0.8,232.5663787786798
2014-02-17 06:00:00,0.8,231.11728625795513
2014-02-17 07:00:00,8.5,229.6681937372332
2014-02-17 08:00:00,142.7,228.21910121651217
2014-02-17 09:00:00,271.4,226.7700086957875
2014-02-17 10:00:00,324.0,225.32091617506376
2014-02-17 11:00:00,167.6,223.87182365433955
2014-02-17 12:00:00,112.5,222.42273113361762
2014-02-17 13:00:00,84.7,220.97363861289614
2014-02-17 14:00:00,131.5,219.52454609217148
2014-02-17 15:00:00,167.7,218.07545357144954
2014-02-17 16:00:00,77.4,216.62636105072625
2014-02-17 17:00:00,37.8,215.1772685300025
2014-02-17 18:00:00,7.5,213.72817600927965
2014-02-17 19:00:00,1.5,212.27908348855772
2014-02-17 20:00:00,1.5,210.8299909678317
2014-02-17 21:00:00,1.1,209.38089844711158
2014-02-17 22:00:00,1.2,207.93180592638782
2014-02-17 23:00:00,1.4,206.4827134056627
2014-02-18 00:00:00,1.3,240.30017629132544
2014-02-18 01:00:00,1.3,238.8510837706026
2014-02-18 02:00:00,1.3,237.4019912498793
2014-02-18 03:00:00,1.4,235.9528987291551
2014-02-18 04:00:00,1.3,234.5038062084327
2014-02-18 05:00:00,1.3,233.05471368770804
2014-02-18 06:00:00,1.2,231.6056211669861
2014-02-18 07:00:00,20.3,230.15652864626418
2014-02-18 08:00:00,143.0,228.70743612553997
2014-02-18 09:00:00,315.5,227.25834360481667
2014-02-18 10:00:00,478.8,225.80925108409474
2014-02-18 11:00:00,550.0,224.3601585633719
2014-02-18 12:00:00,450.9,222.91106604264905
2014-02-18 13:00:00,565.6,221.4619735219262
2014-02-18 14:00:00,378.1,220.01288100120246
2014-02-18 15:00:00,361.1,218.5637884804787
2014-02-18 16:00:00,157.1,217.11469595975632
2014-02-18 17:00:00,120.8,215.6656034390321
2014-02-18 18:00:00,7.1,214.2165109183088
2014-02-18 19:00:00,0.9,212.76741839758824
2014-02-18 20:00:00,0.9,211.31832587686313
2014-02-18 21:00:00,0.9,209.8692333561421
2014-02-18 22:00:00,0.9,208.4201408354188
2014-02-18 23:00:00,0.9,206.97104831469505
2014-02-19 00:00:00,0.8,240.78851120035552
2014-02-19 01:00:00,0.9,239.3394186796313
2014-02-19 02:00:00,0.8,237.89032615890937
2014-02-19 03:00:00,0.9,236.44123363818562
2014-02-19 04:00:00,0.9,234.99214111746278
2014-02-19 05:00:00,0.9,233.54304859673948
2014-02-19 06:00:00,0.9,232.09395607601755
2014-02-19 07:00:00,15.0,230.6448635552938
2014-02-19 08:00:00,81.5,229.19577103457095
2014-02-19 09:00:00,152.5,227.74667851384902
2014-02-19 10:00:00,370.7,226.2975859931248
