,wt_mean_windspd_true,wt_mean_windspd
2014-03-23 06:00:00,2.8,4.361021992712745
2014-03-23 07:00:00,2.2,4.369366759411422
2014-03-23 08:00:00,2.7,4.377711526110071
2014-03-23 09:00:00,4.1,4.386056292808748
2014-03-23 10:00:00,3.5,4.394401059507436
2014-03-23 11:00:00,2.2,4.402745826206116
2014-03-23 12:00:00,3.9,4.411090592904769
2014-03-23 13:00:00,2.9,4.41943535960346
2014-03-23 14:00:00,2.3,4.427780126302112
2014-03-23 15:00:00,3.1,4.4361248930008
2014-03-23 16:00:00,4.9,4.4444696596994735
2014-03-23 17:00:00,5.9,4.452814426398122
2014-03-23 18:00:00,5.1,4.461159193096792
2014-03-23 19:00:00,5.6,4.469503959795469
2014-03-23 20:00:00,5.0,4.47784872649415
2014-03-23 21:00:00,4.7,4.486193493192795
2014-03-23 22:00:00,3.2,4.494538259891469
2014-03-23 23:00:00,1.8,4.502883026590139
2014-03-24 00:00:00,0.7,4.418166539152496
2014-03-24 01:00:00,1.2,4.426511305851145
2014-03-24 02:00:00,0.7,4.434856072549822
2014-03-24 03:00:00,1.5,4.443200839248496
2014-03-24 04:00:00,1.0,4.451545605947169
2014-03-24 05:00:00,1.0,4.459890372645846
2014-03-24 06:00:00,2.1,4.468235139344481
2014-03-24 07:00:00,2.2,4.476579906043172
2014-03-24 08:00:00,3.9,4.484924672741846
2014-03-24 09:00:00,5.6,4.493269439440526
2014-03-24 10:00:00,6.5,4.501614206139196
2014-03-24 11:00:00,6.2,4.509958972837866
2014-03-24 12:00:00,5.7,4.518303739536529
2014-03-24 13:00:00,6.1,4.526648506235199
2014-03-24 14:00:00,8.2,4.534993272933876
2014-03-24 15:00:00,8.8,4.543338039632532
2014-03-24 16:00:00,8.0,4.551682806331209
2014-03-24 17:00:00,8.5,4.560027573029872
2014-03-24 18:00:00,6.4,4.568372339728542
2014-03-24 19:00:00,5.0,4.5767171064272265
2014-03-24 20:00:00,5.8,4.585061873125889
2014-03-24 21:00:00,3.9,4.593406639824574
2014-03-24 22:00:00,4.7,4.6017514065232366
2014-03-24 23:00:00,6.2,4.610096173221917
2014-03-25 00:00:00,2.3,4.400297681380538
2014-03-25 01:00:00,1.1,4.408642448079187
2014-03-25 02:00:00,2.4,4.416987214777867
2014-03-25 03:00:00,2.7,4.425331981476534
2014-03-25 04:00:00,3.2,4.433676748175218
2014-03-25 05:00:00,3.3,4.442021514873874
2014-03-25 06:00:00,4.4,4.450366281572551
2014-03-25 07:00:00,4.5,4.458711048271207
2014-03-25 08:00:00,4.6,4.4670558149698945
2014-03-25 09:00:00,5.7,4.475400581668554
2014-03-25 10:00:00,6.8,4.48374534836722
2014-03-25 11:00:00,7.6,4.492090115065894
2014-03-25 12:00:00,6.9,4.500434881764578
2014-03-25 13:00:00,7.1,4.508779648463241
2014-03-25 14:00:00,7.1,4.517124415161911
2014-03-25 15:00:00,6.8,4.525469181860595
2014-03-25 16:00:00,7.9,4.533813948559251
2014-03-25 17:00:00,8.3,4.5421587152579175
2014-03-25 18:00:00,7.9,4.550503481956595
2014-03-25 19:00:00,7.6,4.558848248655247
2014-03-25 20:00:00,7.7,4.567193015353924
2014-03-25 21:00:00,7.9,4.575537782052601
2014-03-25 22:00:00,8.4,4.583882548751278
2014-03-25 23:00:00,8.5,4.592227315449941
2014-03-26 00:00:00,7.6,4.382428823608558
2014-03-26 01:00:00,6.7,4.390773590307225
2014-03-26 02:00:00,7.4,4.399118357005905
2014-03-26 03:00:00,6.0,4.4074631237045825
2014-03-26 04:00:00,4.8,4.4158078904032525
2014-03-26 05:00:00,5.6,4.42415265710193
2014-03-26 06:00:00,3.9,4.432497423800596
2014-03-26 07:00:00,4.6,4.440842190499255
2014-03-26 08:00:00,5.7,4.449186957197933
2014-03-26 09:00:00,6.3,4.457531723896599
2014-03-26 10:00:00,8.1,4.465876490595269
2014-03-26 11:00:00,8.2,4.474221257293921
2014-03-26 12:00:00,7.9,4.482566023992613
2014-03-26 13:00:00,7.9,4.490910790691268
2014-03-26 14:00:00,8.4,4.49925555738996
2014-03-26 15:00:00,9.5,4.5076003240886156
2014-03-26 16:00:00,9.2,4.515945090787293
2014-03-26 17:00:00,8.9,4.524289857485966
2014-03-26 18:00:00,5.9,4.532634624184633
2014-03-26 19:00:00,5.5,4.540979390883296
2014-03-26 20:00:00,4.5,4.549324157581973
