,wt_tmpap_true,wt_tmpap
2014-08-02 14:00:00,17.0,11.936715750846048
2014-08-02 15:00:00,17.1,11.937178471859745
2014-08-02 16:00:00,17.4,11.937641192873436
2014-08-02 17:00:00,17.0,11.938103913887108
2014-08-02 18:00:00,17.3,11.938566634900813
2014-08-02 19:00:00,16.7,11.939029355914478
2014-08-02 20:00:00,16.9,11.939492076928168
2014-08-02 21:00:00,16.9,11.93995479794187
2014-08-02 22:00:00,17.0,11.940417518955545
2014-08-02 23:00:00,17.8,11.940880239969239
2014-08-03 00:00:00,17.6,11.922934091492305
2014-08-03 01:00:00,18.6,11.923396812505995
2014-08-03 02:00:00,18.0,11.923859533519682
2014-08-03 03:00:00,18.6,11.92432225453338
2014-08-03 04:00:00,17.9,11.924784975547063
2014-08-03 05:00:00,17.8,11.92524769656075
2014-08-03 06:00:00,17.7,11.925710417574436
2014-08-03 07:00:00,18.0,11.926173138588126
2014-08-03 08:00:00,17.4,11.926635859601813
2014-08-03 09:00:00,18.2,11.927098580615503
2014-08-03 10:00:00,19.8,11.927561301629176
2014-08-03 11:00:00,21.0,11.928024022642873
2014-08-03 12:00:00,20.5,11.928486743656546
2014-08-03 13:00:00,19.6,11.928949464670243
2014-08-03 14:00:00,18.9,11.929412185683944
2014-08-03 15:00:00,17.2,11.92987490669762
2014-08-03 16:00:00,16.8,11.930337627711317
2014-08-03 17:00:00,15.0,11.930800348724997
2014-08-03 18:00:00,13.8,11.931263069738687
2014-08-03 19:00:00,12.8,11.931725790752367
2014-08-03 20:00:00,13.2,11.932188511766064
2014-08-03 21:00:00,13.4,11.932651232779758
2014-08-03 22:00:00,12.8,11.933113953793455
2014-08-03 23:00:00,12.0,11.933576674807117
2014-08-04 00:00:00,11.4,11.966755482465022
2014-08-04 01:00:00,11.5,11.967218203478701
2014-08-04 02:00:00,11.8,11.967680924492381
2014-08-04 03:00:00,13.2,11.968143645506071
2014-08-04 04:00:00,13.4,11.968606366519762
2014-08-04 05:00:00,13.1,11.969069087533445
2014-08-04 06:00:00,13.0,11.96953180854712
2014-08-04 07:00:00,13.2,11.969994529560825
2014-08-04 08:00:00,14.2,11.970457250574505
2014-08-04 09:00:00,15.4,11.970919971588192
2014-08-04 10:00:00,16.0,11.971382692601878
2014-08-04 11:00:00,17.6,11.971845413615576
2014-08-04 12:00:00,17.7,11.972308134629266
2014-08-04 13:00:00,16.5,11.972770855642938
2014-08-04 14:00:00,15.5,11.973233576656636
2014-08-04 15:00:00,15.5,11.97369629767033
2014-08-04 16:00:00,15.1,11.974159018684006
2014-08-04 17:00:00,16.1,11.9746217396977
2014-08-04 18:00:00,15.6,11.975084460711383
2014-08-04 19:00:00,13.7,11.975547181725073
2014-08-04 20:00:00,15.1,11.976009902738756
2014-08-04 21:00:00,14.8,11.97647262375245
2014-08-04 22:00:00,15.7,11.976935344766126
2014-08-04 23:00:00,14.3,11.977398065779823
2014-08-05 00:00:00,14.1,11.959451917302886
2014-08-05 01:00:00,14.7,11.959914638316572
2014-08-05 02:00:00,14.8,11.960377359330263
2014-08-05 03:00:00,14.6,11.960840080343957
2014-08-05 04:00:00,14.3,11.961302801357647
2014-08-05 05:00:00,15.1,11.961765522371323
2014-08-05 06:00:00,15.9,11.962228243385027
2014-08-05 07:00:00,15.1,11.962690964398707
2014-08-05 08:00:00,16.1,11.963153685412394
2014-08-05 09:00:00,17.0,11.96361640642608
2014-08-05 10:00:00,17.4,11.964079127439767
2014-08-05 11:00:00,18.9,11.964541848453457
2014-08-05 12:00:00,19.8,11.965004569467151
2014-08-05 13:00:00,20.1,11.96546729048083
2014-08-05 14:00:00,18.9,11.965930011494525
2014-08-05 15:00:00,17.8,11.966392732508211
2014-08-05 16:00:00,16.9,11.966855453521902
2014-08-05 17:00:00,17.2,11.967318174535574
2014-08-05 18:00:00,17.6,11.967780895549271
2014-08-05 19:00:00,15.7,11.968243616562951
2014-08-05 20:00:00,14.8,11.968706337576645
2014-08-05 21:00:00,14.8,11.969169058590321
2014-08-05 22:00:00,15.3,11.969631779604025
2014-08-05 23:00:00,15.7,11.970094500617709
2014-08-06 00:00:00,14.9,11.952148352140775
2014-08-06 01:00:00,14.7,11.952611073154461
2014-08-06 02:00:00,14.6,11.953073794168148
2014-08-06 03:00:00,15.0,11.953536515181828
2014-08-06 04:00:00,15.2,11.953999236195525
2014-08-06 05:00:00,14.9,11.954461957209208
2014-08-06 06:00:00,16.1,11.954924678222902
2014-08-06 07:00:00,14.8,11.955387399236589
2014-08-06 08:00:00,16.4,11.955850120250279
2014-08-06 09:00:00,17.3,11.956312841263966
2014-08-06 10:00:00,18.5,11.956775562277642
2014-08-06 11:00:00,19.4,11.957238283291343
2014-08-06 12:00:00,19.8,11.957701004305033
2014-08-06 13:00:00,20.7,11.958163725318713
2014-08-06 14:00:00,19.0,11.958626446332403
2014-08-06 15:00:00,17.2,11.95908916734609
2014-08-06 16:00:00,16.2,11.959551888359773
2014-08-06 17:00:00,16.5,11.960014609373466
2014-08-06 18:00:00,17.5,11.96047733038715
2014-08-06 19:00:00,16.7,11.96094005140084
2014-08-06 20:00:00,15.1,11.96140277241452
2014-08-06 21:00:00,14.9,11.96186549342821
2014-08-06 22:00:00,14.8,11.962328214441897
2014-08-06 23:00:00,16.0,11.962790935455587
2014-08-07 00:00:00,15.4,11.94484478697866
2014-08-07 01:00:00,16.7,11.94530750799235
2014-08-07 02:00:00,17.2,11.94577022900604
