,wt_hr_true,wt_hr
2014-03-19 10:00:00,69.3,68.13900000000005
2014-03-19 11:00:00,62.3,67.10900000000004
2014-03-19 12:00:00,56.8,62.757000000000055
2014-03-19 13:00:00,44.6,67.44800000000001
2014-03-19 14:00:00,40.5,66.61999999999999
2014-03-19 15:00:00,46.6,72.15499999999999
2014-03-19 16:00:00,45.6,77.42999999999996
2014-03-19 17:00:00,47.2,77.38699999999997
2014-03-19 18:00:00,59.7,77.12099999999997
2014-03-19 19:00:00,70.0,79.74000000000001
2014-03-19 20:00:00,72.6,70.10499999999998
2014-03-19 21:00:00,73.1,71.26899999999999
2014-03-19 22:00:00,72.2,80.292
2014-03-19 23:00:00,72.0,80.99500000000002
2014-03-20 00:00:00,74.9,61.77399999999999
2014-03-20 01:00:00,79.0,61.902999999999984
2014-03-20 02:00:00,78.0,61.81099999999999
2014-03-20 03:00:00,80.6,62.248999999999995
2014-03-20 04:00:00,81.6,64.09100000000001
2014-03-20 05:00:00,82.7,64.834
2014-03-20 06:00:00,80.5,64.49000000000002
2014-03-20 07:00:00,79.1,66.7
2014-03-20 08:00:00,73.5,66.72100000000003
2014-03-20 09:00:00,68.5,65.79200000000004
2014-03-20 10:00:00,62.4,68.40500000000004
2014-03-20 11:00:00,61.7,68.36100000000002
2014-03-20 12:00:00,56.5,64.27000000000007
2014-03-20 13:00:00,52.0,59.830000000000034
2014-03-20 14:00:00,49.7,66.84000000000002
2014-03-20 15:00:00,55.2,72.69200000000001
2014-03-20 16:00:00,60.8,49.43100000000001
2014-03-20 17:00:00,62.6,49.38800000000001
2014-03-20 18:00:00,65.8,49.52800000000001
2014-03-20 19:00:00,67.6,47.60199999999998
2014-03-20 20:00:00,66.0,70.26100000000001
2014-03-20 21:00:00,67.2,71.19500000000001
2014-03-20 22:00:00,65.3,71.34499999999998
2014-03-20 23:00:00,66.3,71.49199999999999
2014-03-21 00:00:00,66.5,64.878
2014-03-21 01:00:00,68.0,64.921
2014-03-21 02:00:00,70.4,64.56400000000001
2014-03-21 03:00:00,71.6,64.72800000000001
2014-03-21 04:00:00,72.5,64.479
2014-03-21 05:00:00,72.0,65.306
2014-03-21 06:00:00,71.7,64.104
2014-03-21 07:00:00,73.0,68.28300000000002
2014-03-21 08:00:00,71.0,65.85700000000006
2014-03-21 09:00:00,71.6,66.89400000000005
2014-03-21 10:00:00,73.2,68.61000000000006
2014-03-21 11:00:00,71.6,68.84200000000004
2014-03-21 12:00:00,73.3,64.66600000000005
2014-03-21 13:00:00,75.6,59.92900000000002
2014-03-21 14:00:00,79.2,67.223
2014-03-21 15:00:00,80.0,50.43100000000001
2014-03-21 16:00:00,84.9,49.475000000000016
2014-03-21 17:00:00,86.2,49.14200000000002
2014-03-21 18:00:00,87.4,49.286000000000016
2014-03-21 19:00:00,88.9,47.989999999999974
2014-03-21 20:00:00,89.3,69.156
2014-03-21 21:00:00,89.7,70.102
2014-03-21 22:00:00,90.1,70.365
2014-03-21 23:00:00,90.2,70.57
2014-03-22 00:00:00,83.9,67.37399999999998
2014-03-22 01:00:00,81.0,67.40199999999999
2014-03-22 02:00:00,72.6,64.97899999999997
2014-03-22 03:00:00,69.4,66.75599999999999
2014-03-22 04:00:00,68.7,66.38499999999999
2014-03-22 05:00:00,70.4,66.02899999999998
2014-03-22 06:00:00,70.1,65.09599999999999
2014-03-22 07:00:00,66.5,68.325
2014-03-22 08:00:00,56.8,72.30400000000006
2014-03-22 09:00:00,53.1,67.425
2014-03-22 10:00:00,50.7,70.89700000000003
2014-03-22 11:00:00,54.5,68.96100000000003
2014-03-22 12:00:00,53.7,69.18300000000004
2014-03-22 13:00:00,57.4,69.38300000000001
2014-03-22 14:00:00,57.5,66.781
2014-03-22 15:00:00,55.1,51.021
2014-03-22 16:00:00,55.1,49.77600000000003
2014-03-22 17:00:00,52.8,48.596000000000004
2014-03-22 18:00:00,53.0,48.997000000000014
2014-03-22 19:00:00,54.5,47.87099999999999
2014-03-22 20:00:00,60.5,69.983
2014-03-22 21:00:00,60.0,70.75099999999999
2014-03-22 22:00:00,58.9,71.24699999999999
2014-03-22 23:00:00,62.8,71.486
2014-03-23 00:00:00,61.7,64.99799999999999
2014-03-23 01:00:00,58.4,65.106
2014-03-23 02:00:00,58.4,64.62599999999999
2014-03-23 03:00:00,55.4,64.645
2014-03-23 04:00:00,58.9,64.479
2014-03-23 05:00:00,60.3,65.43199999999997
2014-03-23 06:00:00,56.6,64.589
2014-03-23 07:00:00,56.4,69.10200000000003
2014-03-23 08:00:00,54.9,72.87800000000004
2014-03-23 09:00:00,50.0,66.77300000000001
2014-03-23 10:00:00,54.6,70.89600000000002
2014-03-23 11:00:00,54.1,70.25100000000002
2014-03-23 12:00:00,49.9,70.23900000000002
2014-03-23 13:00:00,45.3,69.748
2014-03-23 14:00:00,43.7,66.848
2014-03-23 15:00:00,43.5,49.264
2014-03-23 16:00:00,46.7,49.73800000000002
2014-03-23 17:00:00,46.9,48.146
2014-03-23 18:00:00,50.9,48.085000000000015
2014-03-23 19:00:00,59.7,47.041000000000004
2014-03-23 20:00:00,62.2,70.54399999999998
2014-03-23 21:00:00,60.9,79.881
2014-03-23 22:00:00,61.8,79.965
2014-03-23 23:00:00,63.5,80.24000000000001
2014-03-24 00:00:00,64.8,58.36699999999997
2014-03-24 01:00:00,65.1,58.60799999999998
2014-03-24 02:00:00,65.0,58.369999999999976
2014-03-24 03:00:00,66.4,58.88799999999998
2014-03-24 04:00:00,67.9,59.89199999999997
2014-03-24 05:00:00,69.0,61.551999999999964
2014-03-24 06:00:00,75.0,57.954999999999984
2014-03-24 07:00:00,73.0,62.812
2014-03-24 08:00:00,70.7,61.50400000000003
2014-03-24 09:00:00,67.5,61.607000000000035
2014-03-24 10:00:00,71.3,61.889000000000024
2014-03-24 11:00:00,84.4,61.08300000000003
2014-03-24 12:00:00,87.7,60.43700000000003
2014-03-24 13:00:00,77.3,58.052000000000014
2014-03-24 14:00:00,57.1,52.974
2014-03-24 15:00:00,49.8,52.203
2014-03-24 16:00:00,50.2,49.172
2014-03-24 17:00:00,53.3,47.49099999999998
2014-03-24 18:00:00,59.0,47.70199999999996
2014-03-24 19:00:00,64.3,45.549999999999976
2014-03-24 20:00:00,68.3,69.24099999999997
2014-03-24 21:00:00,67.9,69.90800000000002
2014-03-24 22:00:00,67.4,71.01599999999999
2014-03-24 23:00:00,68.2,79.54999999999998
2014-03-25 00:00:00,69.7,56.729999999999976
2014-03-25 01:00:00,70.8,57.01699999999997
2014-03-25 02:00:00,68.9,57.808999999999976
2014-03-25 03:00:00,67.4,57.709999999999994
2014-03-25 04:00:00,64.9,58.58499999999998
2014-03-25 05:00:00,64.5,60.25199999999998
2014-03-25 06:00:00,61.9,56.57399999999998
2014-03-25 07:00:00,61.3,65.17300000000002
2014-03-25 08:00:00,59.4,63.090000000000046
2014-03-25 09:00:00,59.8,63.865000000000045
2014-03-25 10:00:00,55.9,62.97500000000005
2014-03-25 11:00:00,54.9,63.00700000000004
2014-03-25 12:00:00,59.7,62.21300000000006
2014-03-25 13:00:00,60.5,56.943000000000026
2014-03-25 14:00:00,63.6,54.256
2014-03-25 15:00:00,64.7,51.373999999999995
2014-03-25 16:00:00,66.9,49.12799999999997
2014-03-25 17:00:00,65.3,48.93599999999998
2014-03-25 18:00:00,65.6,49.46699999999996
2014-03-25 19:00:00,66.8,47.40899999999996
2014-03-25 20:00:00,67.7,69.82600000000001
2014-03-25 21:00:00,67.2,70.676
2014-03-25 22:00:00,70.3,71.265
2014-03-25 23:00:00,66.5,71.43599999999999
2014-03-26 00:00:00,62.1,60.839999999999975
2014-03-26 01:00:00,59.7,61.06499999999997
2014-03-26 02:00:00,57.6,60.641000000000005
2014-03-26 03:00:00,62.2,60.879000000000005
2014-03-26 04:00:00,62.7,61.071000000000005
2014-03-26 05:00:00,61.9,62.29299999999999
2014-03-26 06:00:00,62.6,56.90299999999999
2014-03-26 07:00:00,60.5,62.35499999999998
2014-03-26 08:00:00,59.5,64.01400000000001
2014-03-26 09:00:00,59.3,62.80700000000005
2014-03-26 10:00:00,53.5,68.13900000000005
2014-03-26 11:00:00,45.4,67.10900000000004
2014-03-26 12:00:00,49.0,62.757000000000055
2014-03-26 13:00:00,45.9,67.44800000000001
2014-03-26 14:00:00,44.1,66.61999999999999
2014-03-26 15:00:00,44.1,72.15499999999999
2014-03-26 16:00:00,49.5,77.42999999999996
2014-03-26 17:00:00,49.0,77.38699999999997
2014-03-26 18:00:00,50.0,77.12099999999997
2014-03-26 19:00:00,58.0,79.74000000000001
2014-03-26 20:00:00,61.8,70.10499999999998
2014-03-26 21:00:00,64.0,71.26899999999999
2014-03-26 22:00:00,63.0,80.292
2014-03-26 23:00:00,64.4,80.99500000000002
2014-03-27 00:00:00,65.3,61.77399999999999
2014-03-27 01:00:00,66.6,61.902999999999984
2014-03-27 02:00:00,67.5,61.81099999999999
2014-03-27 03:00:00,70.0,62.248999999999995
2014-03-27 04:00:00,71.6,64.09100000000001
2014-03-27 05:00:00,69.4,64.834
2014-03-27 06:00:00,65.7,64.49000000000002
2014-03-27 07:00:00,70.0,66.7
2014-03-27 08:00:00,66.5,66.72100000000003
2014-03-27 09:00:00,66.3,65.79200000000004
2014-03-27 10:00:00,62.0,68.40500000000004
2014-03-27 11:00:00,61.2,68.36100000000002
2014-03-27 12:00:00,52.6,64.27000000000007
2014-03-27 13:00:00,55.1,59.830000000000034
2014-03-27 14:00:00,62.0,66.84000000000002
2014-03-27 15:00:00,68.7,72.69200000000001
2014-03-27 16:00:00,75.4,49.43100000000001
2014-03-27 17:00:00,80.1,49.38800000000001
2014-03-27 18:00:00,81.4,49.52800000000001
2014-03-27 19:00:00,78.2,47.60199999999998
2014-03-27 20:00:00,77.8,70.26100000000001
2014-03-27 21:00:00,83.1,71.19500000000001
2014-03-27 22:00:00,81.7,71.34499999999998
2014-03-27 23:00:00,83.0,71.49199999999999
2014-03-28 00:00:00,83.9,64.878
2014-03-28 01:00:00,86.5,64.921
2014-03-28 02:00:00,88.9,64.56400000000001
2014-03-28 03:00:00,90.1,64.72800000000001
2014-03-28 04:00:00,90.0,64.479
2014-03-28 05:00:00,89.1,65.306
2014-03-28 06:00:00,87.4,64.104
2014-03-28 07:00:00,84.0,68.28300000000002
2014-03-28 08:00:00,74.7,65.85700000000006
2014-03-28 09:00:00,70.9,66.89400000000005
2014-03-28 10:00:00,70.4,68.61000000000006
2014-03-28 11:00:00,67.2,68.84200000000004
2014-03-28 12:00:00,58.8,64.66600000000005
