,wt_mean_solarrad_true,wt_mean_solarrad
2014-02-15 21:00:00,1.0,1.127
2014-02-15 22:00:00,1.0,1.1150000000000002
2014-02-15 23:00:00,1.0,1.1130000000000002
2014-02-16 00:00:00,0.9,0.887
2014-02-16 01:00:00,0.9,0.8859999999999999
2014-02-16 02:00:00,0.9,0.865
2014-02-16 03:00:00,0.9,0.8599999999999998
2014-02-16 04:00:00,0.9,0.8740000000000001
2014-02-16 05:00:00,1.0,0.8869999999999998
2014-02-16 06:00:00,0.8,2.553000000000001
2014-02-16 07:00:00,13.4,223.991
2014-02-16 08:00:00,138.5,292.4870000000002
2014-02-16 09:00:00,311.2,466.9840000000002
2014-02-16 10:00:00,467.9,441.45000000000016
2014-02-16 11:00:00,527.1,569.7679999999998
2014-02-16 12:00:00,393.7,576.7620000000001
2014-02-16 13:00:00,380.7,631.5350000000002
2014-02-16 14:00:00,417.4,622.6390000000001
2014-02-16 15:00:00,473.8,543.8869999999998
2014-02-16 16:00:00,300.3,377.728
2014-02-16 17:00:00,94.6,188.94799999999984
2014-02-16 18:00:00,4.7,117.49500000000008
2014-02-16 19:00:00,1.1,6.022000000000005
2014-02-16 20:00:00,1.0,1.0069999999999997
2014-02-16 21:00:00,1.0,1.0169999999999995
2014-02-16 22:00:00,1.0,0.9969999999999996
2014-02-16 23:00:00,1.0,1.0169999999999995
2014-02-17 00:00:00,1.0,1.2510000000000008
2014-02-17 01:00:00,0.9,1.2500000000000009
2014-02-17 02:00:00,1.0,1.2550000000000012
2014-02-17 03:00:00,0.8,1.2570000000000008
2014-02-17 04:00:00,0.9,1.2590000000000008
2014-02-17 05:00:00,0.8,0.8129999999999997
2014-02-17 06:00:00,0.8,3.019000000000002
2014-02-17 07:00:00,8.5,207.2510000000001
2014-02-17 08:00:00,142.7,373.8190000000001
2014-02-17 09:00:00,271.4,471.99
2014-02-17 10:00:00,324.0,485.62700000000035
2014-02-17 11:00:00,167.6,484.61500000000024
2014-02-17 12:00:00,112.5,472.8360000000002
2014-02-17 13:00:00,84.7,545.0690000000002
2014-02-17 14:00:00,131.5,539.0650000000002
2014-02-17 15:00:00,167.7,540.5509999999999
2014-02-17 16:00:00,77.4,236.98800000000003
2014-02-17 17:00:00,37.8,207.13799999999992
2014-02-17 18:00:00,7.5,127.98800000000004
2014-02-17 19:00:00,1.5,6.311000000000004
2014-02-17 20:00:00,1.5,1.217
2014-02-17 21:00:00,1.1,1.229999999999999
2014-02-17 22:00:00,1.2,1.2429999999999992
2014-02-17 23:00:00,1.4,1.224
2014-02-18 00:00:00,1.3,1.2090000000000005
2014-02-18 01:00:00,1.3,1.2200000000000006
2014-02-18 02:00:00,1.3,1.2230000000000008
2014-02-18 03:00:00,1.4,1.2240000000000009
2014-02-18 04:00:00,1.3,1.2260000000000006
2014-02-18 05:00:00,1.3,0.8129999999999997
2014-02-18 06:00:00,1.2,2.9350000000000023
2014-02-18 07:00:00,20.3,142.2380000000001
2014-02-18 08:00:00,143.0,231.75300000000007
2014-02-18 09:00:00,315.5,465.9400000000002
2014-02-18 10:00:00,478.8,441.9810000000002
2014-02-18 11:00:00,550.0,451.79500000000024
2014-02-18 12:00:00,450.9,456.1760000000002
2014-02-18 13:00:00,565.6,535.6490000000002
2014-02-18 14:00:00,378.1,562.1280000000003
2014-02-18 15:00:00,361.1,513.0129999999997
2014-02-18 16:00:00,157.1,223.94200000000004
2014-02-18 17:00:00,120.8,164.73899999999992
2014-02-18 18:00:00,7.1,125.28700000000002
2014-02-18 19:00:00,0.9,3.756999999999999
2014-02-18 20:00:00,0.9,1.1599999999999993
2014-02-18 21:00:00,0.9,1.1549999999999994
2014-02-18 22:00:00,0.9,1.1539999999999992
2014-02-18 23:00:00,0.9,1.133
2014-02-19 00:00:00,0.8,1.1780000000000002
2014-02-19 01:00:00,0.9,1.1650000000000005
2014-02-19 02:00:00,0.8,1.1560000000000006
2014-02-19 03:00:00,0.9,1.1510000000000005
2014-02-19 04:00:00,0.9,1.1540000000000008
2014-02-19 05:00:00,0.9,0.9229999999999992
2014-02-19 06:00:00,0.9,2.5140000000000002
2014-02-19 07:00:00,15.0,189.83500000000006
2014-02-19 08:00:00,81.5,233.91300000000004
2014-02-19 09:00:00,152.5,398.34900000000033
2014-02-19 10:00:00,370.7,438.00200000000024
2014-02-19 11:00:00,342.0,439.98400000000015
2014-02-19 12:00:00,346.3,426.6700000000003
2014-02-19 13:00:00,272.0,556.6240000000001
2014-02-19 14:00:00,324.9,515.797
2014-02-19 15:00:00,221.2,523.5049999999999
2014-02-19 16:00:00,188.8,221.6180000000001
2014-02-19 17:00:00,48.1,154.4699999999999
2014-02-19 18:00:00,3.4,128.362
2014-02-19 19:00:00,1.1,6.1490000000000045
2014-02-19 20:00:00,1.2,1.1730000000000005
2014-02-19 21:00:00,1.2,1.1600000000000001
2014-02-19 22:00:00,1.1,1.1630000000000003
2014-02-19 23:00:00,1.1,1.1540000000000001
2014-02-20 00:00:00,1.8,1.173
2014-02-20 01:00:00,2.9,1.1620000000000001
2014-02-20 02:00:00,2.5,1.1720000000000004
2014-02-20 03:00:00,2.6,1.1640000000000006
2014-02-20 04:00:00,2.5,1.1740000000000006
2014-02-20 05:00:00,2.2,0.9169999999999989
2014-02-20 06:00:00,3.1,2.442000000000002
2014-02-20 07:00:00,14.9,131.08000000000007
2014-02-20 08:00:00,164.1,235.7870000000001
2014-02-20 09:00:00,174.9,418.19900000000024
2014-02-20 10:00:00,312.5,439.43600000000026
2014-02-20 11:00:00,273.1,449.5250000000002
2014-02-20 12:00:00,237.5,515.9150000000001
2014-02-20 13:00:00,142.1,545.6970000000001
2014-02-20 14:00:00,103.2,556.2160000000002
2014-02-20 15:00:00,90.2,528.9119999999999
2014-02-20 16:00:00,90.9,220.84900000000007
2014-02-20 17:00:00,92.9,164.58399999999992
2014-02-20 18:00:00,5.1,114.20700000000002
2014-02-20 19:00:00,2.2,5.763000000000003
2014-02-20 20:00:00,1.8,1.1710000000000003
2014-02-20 21:00:00,1.6,1.1590000000000003
2014-02-20 22:00:00,1.6,1.1590000000000003
2014-02-20 23:00:00,1.5,1.1440000000000001
2014-02-21 00:00:00,1.4,1.1520000000000001
2014-02-21 01:00:00,1.3,1.06
2014-02-21 02:00:00,1.5,1.1530000000000005
2014-02-21 03:00:00,1.5,0.991
2014-02-21 04:00:00,1.3,1.1210000000000002
2014-02-21 05:00:00,1.4,0.9029999999999992
2014-02-21 06:00:00,1.3,2.7160000000000015
2014-02-21 07:00:00,24.6,102.81600000000005
2014-02-21 08:00:00,133.0,286.7580000000001
2014-02-21 09:00:00,335.9,430.17800000000017
2014-02-21 10:00:00,367.9,435.76800000000026
2014-02-21 11:00:00,363.8,442.87300000000016
2014-02-21 12:00:00,392.5,589.9169999999998
2014-02-21 13:00:00,344.8,571.9210000000003
2014-02-21 14:00:00,251.4,555.3810000000003
2014-02-21 15:00:00,413.9,396.9710000000003
2014-02-21 16:00:00,248.3,216.94800000000006
2014-02-21 17:00:00,131.9,169.1569999999999
2014-02-21 18:00:00,8.8,106.36500000000007
2014-02-21 19:00:00,1.3,4.87
2014-02-21 20:00:00,1.5,1.1540000000000001
2014-02-21 21:00:00,1.4,1.1440000000000001
2014-02-21 22:00:00,1.4,1.1450000000000002
2014-02-21 23:00:00,1.3,1.1440000000000001
2014-02-22 00:00:00,1.1,1.0410000000000001
2014-02-22 01:00:00,1.2,1.024
2014-02-22 02:00:00,1.3,0.998
2014-02-22 03:00:00,1.2,0.991
2014-02-22 04:00:00,1.2,0.9969999999999999
2014-02-22 05:00:00,1.3,0.8949999999999996
2014-02-22 06:00:00,1.2,2.4030000000000014
2014-02-22 07:00:00,18.1,199.3660000000001
2014-02-22 08:00:00,138.3,262.0940000000001
2014-02-22 09:00:00,332.3,434.95200000000017
2014-02-22 10:00:00,303.8,440.35400000000016
2014-02-22 11:00:00,302.2,443.2180000000002
2014-02-22 12:00:00,383.1,474.63600000000025
2014-02-22 13:00:00,216.3,541.114
2014-02-22 14:00:00,425.6,546.7650000000003
2014-02-22 15:00:00,248.4,495.7249999999999
2014-02-22 16:00:00,168.4,244.85100000000003
2014-02-22 17:00:00,49.9,189.02799999999988
2014-02-22 18:00:00,6.3,110.11400000000005
2014-02-22 19:00:00,1.3,5.764000000000002
2014-02-22 20:00:00,1.2,1.131
2014-02-22 21:00:00,1.3,1.127
2014-02-22 22:00:00,1.3,1.1150000000000002
2014-02-22 23:00:00,1.3,1.1130000000000002
2014-02-23 00:00:00,1.2,0.887
2014-02-23 01:00:00,1.4,0.8859999999999999
2014-02-23 02:00:00,1.5,0.865
2014-02-23 03:00:00,1.4,0.8599999999999998
2014-02-23 04:00:00,1.2,0.8740000000000001
2014-02-23 05:00:00,1.7,0.8869999999999998
2014-02-23 06:00:00,1.4,2.553000000000001
2014-02-23 07:00:00,35.2,223.991
2014-02-23 08:00:00,176.0,292.4870000000002
2014-02-23 09:00:00,352.8,466.9840000000002
2014-02-23 10:00:00,480.9,441.45000000000016
2014-02-23 11:00:00,519.5,569.7679999999998
2014-02-23 12:00:00,561.4,576.7620000000001
2014-02-23 13:00:00,525.3,631.5350000000002
2014-02-23 14:00:00,373.4,622.6390000000001
2014-02-23 15:00:00,195.5,543.8869999999998
2014-02-23 16:00:00,278.7,377.728
2014-02-23 17:00:00,58.9,188.94799999999984
2014-02-23 18:00:00,2.9,117.49500000000008
2014-02-23 19:00:00,1.2,6.022000000000005
2014-02-23 20:00:00,1.2,1.0069999999999997
2014-02-23 21:00:00,1.4,1.0169999999999995
2014-02-23 22:00:00,1.4,0.9969999999999996
2014-02-23 23:00:00,1.3,1.0169999999999995
2014-02-24 00:00:00,1.3,1.2510000000000008
2014-02-24 01:00:00,1.3,1.2500000000000009
2014-02-24 02:00:00,1.3,1.2550000000000012
2014-02-24 03:00:00,1.2,1.2570000000000008
2014-02-24 04:00:00,1.3,1.2590000000000008
2014-02-24 05:00:00,1.6,0.8129999999999997
2014-02-24 06:00:00,1.5,3.019000000000002
2014-02-24 07:00:00,31.8,207.2510000000001
2014-02-24 08:00:00,148.7,373.8190000000001
2014-02-24 09:00:00,352.8,471.99
2014-02-24 10:00:00,378.0,485.62700000000035
2014-02-24 11:00:00,230.1,484.61500000000024
2014-02-24 12:00:00,360.0,472.8360000000002
2014-02-24 13:00:00,535.1,545.0690000000002
2014-02-24 14:00:00,416.9,539.0650000000002
2014-02-24 15:00:00,267.6,540.5509999999999
2014-02-24 16:00:00,246.8,236.98800000000003
2014-02-24 17:00:00,99.9,207.13799999999992
2014-02-24 18:00:00,6.3,127.98800000000004
2014-02-24 19:00:00,1.3,6.311000000000004
2014-02-24 20:00:00,1.4,1.217
2014-02-24 21:00:00,1.3,1.229999999999999
2014-02-24 22:00:00,1.4,1.2429999999999992
2014-02-24 23:00:00,1.4,1.224
2014-02-25 00:00:00,1.5,1.2090000000000005
2014-02-25 01:00:00,1.2,1.2200000000000006
2014-02-25 02:00:00,1.3,1.2230000000000008
2014-02-25 03:00:00,1.5,1.2240000000000009
2014-02-25 04:00:00,1.6,1.2260000000000006
2014-02-25 05:00:00,2.1,0.8129999999999997
2014-02-25 06:00:00,1.7,2.9350000000000023
2014-02-25 07:00:00,17.3,142.2380000000001
2014-02-25 08:00:00,138.7,231.75300000000007
2014-02-25 09:00:00,229.7,465.9400000000002
2014-02-25 10:00:00,229.1,441.9810000000002
2014-02-25 11:00:00,291.8,451.79500000000024
2014-02-25 12:00:00,295.0,456.1760000000002
2014-02-25 13:00:00,243.3,535.6490000000002
2014-02-25 14:00:00,330.1,562.1280000000003
2014-02-25 15:00:00,437.6,513.0129999999997
2014-02-25 16:00:00,291.2,223.94200000000004
2014-02-25 17:00:00,109.2,164.73899999999992
2014-02-25 18:00:00,9.7,125.28700000000002
2014-02-25 19:00:00,1.6,3.756999999999999
2014-02-25 20:00:00,1.4,1.1599999999999993
2014-02-25 21:00:00,1.3,1.1549999999999994
2014-02-25 22:00:00,1.4,1.1539999999999992
2014-02-25 23:00:00,1.4,1.133
2014-02-26 00:00:00,1.4,1.1780000000000002
