,wt_mean_windspd_true,wt_mean_windspd
2014-09-29 19:00:00,5.4,5.138000000000002
2014-09-29 20:00:00,4.9,4.919
2014-09-29 21:00:00,3.9,4.856999999999998
2014-09-29 22:00:00,4.3,4.667999999999998
2014-09-29 23:00:00,3.5,4.672999999999998
2014-09-30 00:00:00,3.5,4.681
2014-09-30 01:00:00,3.9,4.689
2014-09-30 02:00:00,4.6,4.718
2014-09-30 03:00:00,4.6,4.723
2014-09-30 04:00:00,4.9,5.090000000000001
2014-09-30 05:00:00,4.4,5.053999999999999
2014-09-30 06:00:00,4.2,5.112999999999998
2014-09-30 07:00:00,4.7,4.697999999999997
2014-09-30 08:00:00,4.6,4.7079999999999975
2014-09-30 09:00:00,3.9,4.822999999999999
2014-09-30 10:00:00,3.5,4.578999999999997
2014-09-30 11:00:00,4.7,5.0580000000000025
2014-09-30 12:00:00,3.9,4.661999999999999
2014-09-30 13:00:00,3.3,4.850000000000001
2014-09-30 14:00:00,3.0,4.354000000000001
2014-09-30 15:00:00,2.3,4.221
2014-09-30 16:00:00,2.4,5.099999999999999
2014-09-30 17:00:00,3.4,5.048
2014-09-30 18:00:00,4.9,5.116999999999998
2014-09-30 19:00:00,5.9,4.963999999999996
2014-09-30 20:00:00,5.3,4.864999999999999
2014-09-30 21:00:00,4.5,4.8549999999999995
2014-09-30 22:00:00,4.1,4.743
2014-09-30 23:00:00,4.0,4.697
2014-10-01 00:00:00,4.7,4.878000000000001
2014-10-01 01:00:00,4.5,4.885000000000001
2014-10-01 02:00:00,4.0,4.9110000000000005
2014-10-01 03:00:00,3.5,4.925
2014-10-01 04:00:00,3.6,5.034
2014-10-01 05:00:00,3.8,5.046000000000002
2014-10-01 06:00:00,4.1,5.007000000000002
2014-10-01 07:00:00,3.9,4.954000000000002
2014-10-01 08:00:00,5.2,4.817999999999998
2014-10-01 09:00:00,5.4,5.0569999999999995
2014-10-01 10:00:00,5.4,4.360999999999997
2014-10-01 11:00:00,5.2,5.050000000000001
2014-10-01 12:00:00,4.5,4.394999999999999
2014-10-01 13:00:00,4.8,4.655999999999999
2014-10-01 14:00:00,4.5,4.278000000000001
2014-10-01 15:00:00,4.7,4.494
2014-10-01 16:00:00,4.8,5.058999999999999
2014-10-01 17:00:00,5.4,5.0120000000000005
2014-10-01 18:00:00,5.8,5.108999999999998
2014-10-01 19:00:00,5.1,5.041999999999998
2014-10-01 20:00:00,5.2,4.894
2014-10-01 21:00:00,4.6,4.848
2014-10-01 22:00:00,4.1,4.688999999999999
2014-10-01 23:00:00,4.8,4.554000000000003
2014-10-02 00:00:00,5.0,4.185
2014-10-02 01:00:00,4.5,4.215999999999999
2014-10-02 02:00:00,3.8,4.223
2014-10-02 03:00:00,4.4,4.223999999999998
2014-10-02 04:00:00,5.0,4.084999999999998
2014-10-02 05:00:00,4.6,4.781999999999997
2014-10-02 06:00:00,4.5,4.985
2014-10-02 07:00:00,4.6,4.8539999999999965
2014-10-02 08:00:00,4.3,4.891999999999997
2014-10-02 09:00:00,3.2,4.681999999999999
2014-10-02 10:00:00,3.0,4.669999999999998
2014-10-02 11:00:00,3.7,4.967999999999998
2014-10-02 12:00:00,3.1,4.992
2014-10-02 13:00:00,2.9,4.720999999999998
2014-10-02 14:00:00,2.8,4.504999999999999
2014-10-02 15:00:00,2.7,4.476
2014-10-02 16:00:00,2.2,4.612999999999999
2014-10-02 17:00:00,3.2,5.0169999999999995
2014-10-02 18:00:00,4.8,4.487999999999999
2014-10-02 19:00:00,4.6,4.274999999999999
2014-10-02 20:00:00,4.2,4.317
2014-10-02 21:00:00,4.1,4.264
2014-10-02 22:00:00,3.5,4.319000000000001
2014-10-02 23:00:00,3.5,4.353000000000001
2014-10-03 00:00:00,3.1,4.461
2014-10-03 01:00:00,3.3,4.472
2014-10-03 02:00:00,3.3,4.342999999999998
2014-10-03 03:00:00,1.7,4.337999999999997
2014-10-03 04:00:00,2.8,4.807999999999998
2014-10-03 05:00:00,2.3,5.050999999999998
2014-10-03 06:00:00,1.8,5.049999999999999
2014-10-03 07:00:00,1.5,4.665999999999998
2014-10-03 08:00:00,2.9,5.194
2014-10-03 09:00:00,3.1,5.047
2014-10-03 10:00:00,2.4,5.0280000000000005
2014-10-03 11:00:00,1.5,5.055999999999999
2014-10-03 12:00:00,1.7,5.018
2014-10-03 13:00:00,1.0,5.029
2014-10-03 14:00:00,1.2,4.660999999999999
2014-10-03 15:00:00,2.9,4.447
2014-10-03 16:00:00,3.7,4.582
2014-10-03 17:00:00,4.6,4.5440000000000005
2014-10-03 18:00:00,5.6,4.5009999999999994
2014-10-03 19:00:00,5.1,4.366
2014-10-03 20:00:00,4.8,4.346000000000001
2014-10-03 21:00:00,4.9,4.2890000000000015
2014-10-03 22:00:00,3.9,4.1979999999999995
2014-10-03 23:00:00,3.2,4.18
2014-10-04 00:00:00,3.8,4.575
2014-10-04 01:00:00,4.0,4.664999999999999
2014-10-04 02:00:00,3.9,4.687999999999999
2014-10-04 03:00:00,4.6,4.678
2014-10-04 04:00:00,4.0,4.736999999999998
2014-10-04 05:00:00,5.2,4.806999999999999
2014-10-04 06:00:00,4.3,4.762999999999996
2014-10-04 07:00:00,4.2,4.873999999999998
2014-10-04 08:00:00,4.3,5.080999999999997
2014-10-04 09:00:00,5.4,5.0699999999999985
2014-10-04 10:00:00,5.7,5.052999999999999
2014-10-04 11:00:00,4.8,5.06
2014-10-04 12:00:00,5.8,5.052999999999999
2014-10-04 13:00:00,6.1,5.065
2014-10-04 14:00:00,7.1,4.077000000000002
2014-10-04 15:00:00,6.9,4.496999999999999
2014-10-04 16:00:00,5.9,4.584999999999999
2014-10-04 17:00:00,3.8,4.590999999999999
2014-10-04 18:00:00,6.6,4.431
2014-10-04 19:00:00,8.5,4.270999999999999
2014-10-04 20:00:00,9.5,4.343000000000001
2014-10-04 21:00:00,7.8,4.264000000000001
2014-10-04 22:00:00,7.0,4.332000000000002
2014-10-04 23:00:00,7.6,4.218000000000001
2014-10-05 00:00:00,6.6,4.5539999999999985
2014-10-05 01:00:00,5.4,4.641999999999999
2014-10-05 02:00:00,4.5,4.669999999999999
2014-10-05 03:00:00,6.3,4.685999999999999
2014-10-05 04:00:00,6.5,4.743999999999999
2014-10-05 05:00:00,4.8,4.598000000000002
2014-10-05 06:00:00,3.0,4.799999999999998
2014-10-05 07:00:00,3.3,5.047999999999997
2014-10-05 08:00:00,3.6,5.044999999999996
2014-10-05 09:00:00,4.4,5.181999999999999
2014-10-05 10:00:00,5.8,5.1789999999999985
2014-10-05 11:00:00,6.8,5.096999999999998
2014-10-05 12:00:00,7.9,5.042999999999999
2014-10-05 13:00:00,7.5,5.081999999999999
2014-10-05 14:00:00,7.5,4.545999999999999
2014-10-05 15:00:00,7.0,3.9290000000000016
2014-10-05 16:00:00,7.2,4.039999999999999
2014-10-05 17:00:00,7.3,3.888000000000001
2014-10-05 18:00:00,6.2,4.019
2014-10-05 19:00:00,5.6,3.8949999999999996
2014-10-05 20:00:00,5.4,3.8610000000000007
2014-10-05 21:00:00,4.9,3.8840000000000003
2014-10-05 22:00:00,3.8,4.06
