,wt_mean_solarrad_true
2014-06-08 03:00:00,0.8
2014-06-08 04:00:00,0.9
2014-06-08 05:00:00,12.1
2014-06-08 06:00:00,120.5
2014-06-08 07:00:00,243.7
2014-06-08 08:00:00,353.7
2014-06-08 09:00:00,611.0
2014-06-08 10:00:00,618.1
2014-06-08 11:00:00,847.2
2014-06-08 12:00:00,873.8
2014-06-08 13:00:00,939.8
2014-06-08 14:00:00,872.8
2014-06-08 15:00:00,750.1
2014-06-08 16:00:00,598.1
2014-06-08 17:00:00,411.7
2014-06-08 18:00:00,224.1
2014-06-08 19:00:00,36.5
2014-06-08 20:00:00,1.4
2014-06-08 21:00:00,1.1
2014-06-08 22:00:00,1.2
2014-06-08 23:00:00,1.1
2014-06-09 00:00:00,1.0
2014-06-09 01:00:00,1.1
2014-06-09 02:00:00,1.0
2014-06-09 03:00:00,1.0
2014-06-09 04:00:00,1.0
2014-06-09 05:00:00,22.1
2014-06-09 06:00:00,149.9
2014-06-09 07:00:00,205.9
2014-06-09 08:00:00,354.9
2014-06-09 09:00:00,410.6
2014-06-09 10:00:00,591.5
2014-06-09 11:00:00,931.8
2014-06-09 12:00:00,943.4
2014-06-09 13:00:00,913.7
2014-06-09 14:00:00,846.8
2014-06-09 15:00:00,718.3
2014-06-09 16:00:00,567.4
2014-06-09 17:00:00,377.1
2014-06-09 18:00:00,204.9
2014-06-09 19:00:00,32.6
2014-06-09 20:00:00,1.5
2014-06-09 21:00:00,1.0
2014-06-09 22:00:00,1.1
2014-06-09 23:00:00,1.1
2014-06-10 00:00:00,1.0
2014-06-10 01:00:00,1.1
2014-06-10 02:00:00,1.1
2014-06-10 03:00:00,1.1
2014-06-10 04:00:00,1.2
2014-06-10 05:00:00,14.9
2014-06-10 06:00:00,83.3
2014-06-10 07:00:00,393.3
2014-06-10 08:00:00,554.7
2014-06-10 09:00:00,561.9
2014-06-10 10:00:00,788.2
2014-06-10 11:00:00,928.5
2014-06-10 12:00:00,815.0
2014-06-10 13:00:00,753.1
2014-06-10 14:00:00,655.6
2014-06-10 15:00:00,749.1
2014-06-10 16:00:00,613.9
2014-06-10 17:00:00,426.4
2014-06-10 18:00:00,233.7
2014-06-10 19:00:00,63.4
2014-06-10 20:00:00,1.5
2014-06-10 21:00:00,0.9
2014-06-10 22:00:00,0.9
2014-06-10 23:00:00,0.9
2014-06-11 00:00:00,0.9
2014-06-11 01:00:00,0.9
2014-06-11 02:00:00,0.9
2014-06-11 03:00:00,0.9
2014-06-11 04:00:00,0.9
2014-06-11 05:00:00,31.2
2014-06-11 06:00:00,173.0
2014-06-11 07:00:00,358.2
2014-06-11 08:00:00,547.0
2014-06-11 09:00:00,715.6
2014-06-11 10:00:00,847.3
2014-06-11 11:00:00,934.1
2014-06-11 12:00:00,968.0
2014-06-11 13:00:00,955.4
2014-06-11 14:00:00,889.0
2014-06-11 15:00:00,761.1
2014-06-11 16:00:00,602.5
2014-06-11 17:00:00,421.2
2014-06-11 18:00:00,227.7
2014-06-11 19:00:00,60.8
2014-06-11 20:00:00,2.0
2014-06-11 21:00:00,1.0
2014-06-11 22:00:00,0.9
2014-06-11 23:00:00,1.0
2014-06-12 00:00:00,0.9
2014-06-12 01:00:00,0.9
2014-06-12 02:00:00,0.9
2014-06-12 03:00:00,0.9
2014-06-12 04:00:00,1.0
2014-06-12 05:00:00,27.5
2014-06-12 06:00:00,161.8
2014-06-12 07:00:00,350.5
2014-06-12 08:00:00,526.5
2014-06-12 09:00:00,701.4
2014-06-12 10:00:00,874.5
2014-06-12 11:00:00,915.4
2014-06-12 12:00:00,947.6
2014-06-12 13:00:00,930.8
2014-06-12 14:00:00,857.4
2014-06-12 15:00:00,727.5
2014-06-12 16:00:00,571.2
2014-06-12 17:00:00,393.0
2014-06-12 18:00:00,204.5
2014-06-12 19:00:00,52.0
2014-06-12 20:00:00,1.5
2014-06-12 21:00:00,0.4
2014-06-12 22:00:00,0.5
2014-06-12 23:00:00,0.4
2014-06-13 00:00:00,0.4
2014-06-13 01:00:00,0.4
2014-06-13 02:00:00,0.4
2014-06-13 03:00:00,0.4
2014-06-13 04:00:00,0.4
2014-06-13 05:00:00,25.6
2014-06-13 06:00:00,156.5
2014-06-13 07:00:00,339.0
2014-06-13 08:00:00,524.5
2014-06-13 09:00:00,693.4
2014-06-13 10:00:00,826.4
2014-06-13 11:00:00,909.5
2014-06-13 12:00:00,936.8
2014-06-13 13:00:00,924.5
2014-06-13 14:00:00,861.1
2014-06-13 15:00:00,747.5
2014-06-13 16:00:00,593.4
2014-06-13 17:00:00,411.8
2014-06-13 18:00:00,221.3
2014-06-13 19:00:00,58.2
2014-06-13 20:00:00,0.9
2014-06-13 21:00:00,0.1
2014-06-13 22:00:00,0.1
2014-06-13 23:00:00,0.1
2014-06-14 00:00:00,0.1
2014-06-14 01:00:00,0.1
2014-06-14 02:00:00,0.0
2014-06-14 03:00:00,0.0
2014-06-14 04:00:00,0.1
2014-06-14 05:00:00,25.8
2014-06-14 06:00:00,160.7
2014-06-14 07:00:00,348.2
2014-06-14 08:00:00,534.7
2014-06-14 09:00:00,702.8
2014-06-14 10:00:00,834.9
2014-06-14 11:00:00,921.0
2014-06-14 12:00:00,946.0
2014-06-14 13:00:00,926.7
2014-06-14 14:00:00,873.8
2014-06-14 15:00:00,761.4
2014-06-14 16:00:00,603.5
2014-06-14 17:00:00,418.4
2014-06-14 18:00:00,223.9
2014-06-14 19:00:00,57.5
2014-06-14 20:00:00,0.7
2014-06-14 21:00:00,0.0
2014-06-14 23:00:00,0.0
2014-06-15 00:00:00,0.0
2014-06-15 01:00:00,0.0
2014-06-15 02:00:00,0.0
2014-06-15 03:00:00,0.0
2014-06-15 04:00:00,0.1
2014-06-15 05:00:00,25.4
2014-06-15 06:00:00,159.9
2014-06-15 07:00:00,352.8
2014-06-15 08:00:00,548.4
2014-06-15 09:00:00,718.5
2014-06-15 10:00:00,850.6
2014-06-15 11:00:00,935.1
2014-06-15 12:00:00,970.1
2014-06-15 13:00:00,953.4
2014-06-15 14:00:00,888.8
2014-06-15 15:00:00,766.1
2014-06-15 16:00:00,604.0
2014-06-15 17:00:00,416.1
2014-06-15 18:00:00,220.7
2014-06-15 19:00:00,56.6
2014-06-15 20:00:00,0.9
2014-06-15 21:00:00,0.0
2014-06-15 22:00:00,0.0
2014-06-15 23:00:00,0.0
2014-06-16 00:00:00,0.0
2014-06-16 01:00:00,0.0
2014-06-16 02:00:00,0.0
2014-06-16 03:00:00,0.0
2014-06-16 04:00:00,0.1
2014-06-16 05:00:00,29.1
2014-06-16 06:00:00,174.3
2014-06-16 07:00:00,365.7
2014-06-16 08:00:00,556.4
2014-06-16 09:00:00,721.4
2014-06-16 10:00:00,851.3
2014-06-16 11:00:00,929.9
2014-06-16 12:00:00,956.1
2014-06-16 13:00:00,939.4
2014-06-16 14:00:00,875.0
2014-06-16 15:00:00,757.1
2014-06-16 16:00:00,601.1
2014-06-16 17:00:00,416.9
2014-06-16 18:00:00,217.7
2014-06-16 19:00:00,58.8
2014-06-16 20:00:00,0.9
2014-06-16 21:00:00,0.0
2014-06-16 22:00:00,0.0
2014-06-16 23:00:00,0.0
2014-06-17 00:00:00,0.0
2014-06-17 01:00:00,0.0
2014-06-17 02:00:00,0.1
2014-06-17 03:00:00,0.1
2014-06-17 04:00:00,0.1
2014-06-17 05:00:00,7.2
2014-06-17 06:00:00,45.1
2014-06-17 07:00:00,102.2
2014-06-17 08:00:00,163.7
2014-06-17 09:00:00,241.6
2014-06-17 10:00:00,447.2
2014-06-17 11:00:00,350.1
2014-06-17 12:00:00,252.0
2014-06-17 13:00:00,355.8
2014-06-17 14:00:00,520.3
2014-06-17 15:00:00,706.1
2014-06-17 16:00:00,578.2
2014-06-17 17:00:00,393.7
2014-06-17 18:00:00,190.2
2014-06-17 19:00:00,36.4
2014-06-17 20:00:00,0.8
2014-06-17 21:00:00,0.0
2014-06-17 22:00:00,0.0
2014-06-17 23:00:00,0.0
2014-06-18 00:00:00,0.0
2014-06-18 01:00:00,0.0
2014-06-18 02:00:00,0.0
2014-06-18 03:00:00,0.0
2014-06-18 04:00:00,0.0
2014-06-18 05:00:00,4.4
2014-06-18 06:00:00,35.3
2014-06-18 07:00:00,111.2
2014-06-18 08:00:00,149.3
2014-06-18 09:00:00,252.3
2014-06-18 10:00:00,514.6
2014-06-18 11:00:00,475.2
2014-06-18 12:00:00,671.4
2014-06-18 13:00:00,810.8
2014-06-18 14:00:00,934.5
2014-06-18 15:00:00,764.0
2014-06-18 16:00:00,605.7
2014-06-18 17:00:00,421.0
2014-06-18 18:00:00,222.8
2014-06-18 19:00:00,65.6
2014-06-18 20:00:00,0.8
2014-06-18 21:00:00,0.0
2014-06-18 22:00:00,0.0
2014-06-18 23:00:00,0.0
2014-06-19 00:00:00,0.0
2014-06-19 01:00:00,0.0
2014-06-19 02:00:00,0.0
2014-06-19 03:00:00,0.0
2014-06-19 04:00:00,0.1
2014-06-19 05:00:00,29.5
2014-06-19 06:00:00,167.2
2014-06-19 07:00:00,346.2
2014-06-19 08:00:00,523.9
2014-06-19 09:00:00,529.2
2014-06-19 10:00:00,776.1
2014-06-19 11:00:00,937.1
2014-06-19 12:00:00,965.5
2014-06-19 13:00:00,947.6
2014-06-19 14:00:00,881.7
2014-06-19 15:00:00,764.9
2014-06-19 16:00:00,521.0
2014-06-19 17:00:00,399.1
2014-06-19 18:00:00,249.7
2014-06-19 19:00:00,27.7
2014-06-19 20:00:00,0.8
2014-06-19 21:00:00,0.1
