timestamp,central,civil,north_tower,south_tower,wt_temp,wt_tmpap,wt_hr,wt_max_windgust,wt_mean_windspd,wt_mean_pres,wt_mean_solarrad,wt_rain_day
2017-01-01 00:00:00,117.823342,74.897706,42.99643,100.8100005,8.5,5.6,75.0,3.8,2.3,1029.0,1.4,0.0
2017-01-01 01:00:00,119.1906989,75.17355649999999,42.7519285,99.0541345,7.9,4.7,76.3,4.3,2.7,1028.2,1.5,0.0
2017-01-01 02:00:00,117.9729915,74.2081752,42.861834,98.539567,7.3,3.7,80.3,4.8,3.3,1028.0,1.4,0.0
2017-01-01 03:00:00,116.4132879,73.7358886,42.317769,101.4357845,6.8,3.0,81.3,5.0,3.5,1028.0,1.5,0.0
2017-01-01 04:00:00,116.17238359999999,75.1023508,42.653385,98.48166450000001,6.5,2.3,81.2,6.8,4.0,1028.0,0.9,0.0
2017-01-01 05:00:00,114.8782817,75.7873,42.4377255,97.805844,6.0,1.3,81.0,7.3,4.6,1028.0,1.4,0.0
2017-01-01 06:00:00,116.12822129999999,77.6023772,42.307281,94.4647605,5.6,1.3,80.4,7.3,4.0,1027.0,1.0,0.0
2017-01-01 07:00:00,116.1114773,78.4381374,46.7447975,94.983261,5.5,1.6,80.2,5.5,3.2,1027.0,1.5,0.0
2017-01-01 08:00:00,112.4997965,79.3300222,46.521709,104.62217,5.4,1.4,80.4,7.0,3.5,1027.0,29.5,0.0
2017-01-01 09:00:00,112.9510473,79.1734842,46.554047,101.36215,5.5,0.7,80.1,8.1,4.5,1027.0,76.5,0.0
2017-01-01 10:00:00,112.74865420000002,79.9118854,46.689516999999995,104.6009755,6.0,1.7,78.8,6.3,4.0,1027.0,192.8,0.0
2017-01-01 11:00:00,112.3430308,79.9960723,46.7360575,106.95575,6.9,3.7,76.3,4.8,2.5,1026.2,237.5,0.0
2017-01-01 12:00:00,113.6214352,78.9804843,46.97313,104.95144950000001,7.6,4.6,75.3,4.3,2.2,1025.2,267.5,0.0
2017-01-01 13:00:00,113.8309445,80.4000167,47.654413,104.791726,8.7,6.3,72.7,3.0,1.6,1023.7,203.5,0.0
2017-01-01 14:00:00,114.5270763,82.9294417,47.892578,107.381825,9.8,7.9,70.0,2.3,1.1,1023.0,146.2,0.0
2017-01-01 15:00:00,114.30961359999999,84.2287071,47.786387,103.98808299999999,9.7,7.2,71.4,3.0,1.9,1022.2,124.3,0.0
2017-01-01 16:00:00,117.1276288,84.272805,48.0199635,105.216053,9.5,7.5,73.8,2.8,1.4,1022.0,56.9,0.0
2017-01-01 17:00:00,116.887771,85.5831426,48.2716755,107.87345,9.0,6.1,76.4,3.8,2.4,1022.0,5.2,0.0
2017-01-01 18:00:00,118.34512690000001,85.15858100000001,48.695784,105.297772,8.9,5.8,76.3,4.5,2.7,1021.6,1.5,0.0
2017-01-01 19:00:00,117.9116666,86.1590879,49.652377,105.5317855,9.0,6.3,75.9,3.5,2.2,1021.0,1.4,0.0
2017-01-01 20:00:00,125.8803455,87.6857152,48.608821,110.06238300000001,9.2,6.9,76.9,3.3,1.8,1020.0,1.4,0.0
2017-01-01 21:00:00,126.03020430000001,86.0090405,44.7079405,104.160698,9.2,7.9,78.6,1.8,0.4,1019.3,1.3,0.0
2017-01-01 22:00:00,125.65388290000001,87.44747199999999,44.293446,100.433525,10.0,8.0,77.7,3.3,1.6,1018.9,1.2,0.0
2017-01-01 23:00:00,126.1955513,88.2941135,43.37662,97.65639,9.9,7.7,80.2,4.5,2.0,1018.0,1.5,0.0
2017-01-02 00:00:00,126.10325,87.3963108,43.877640500000005,92.2155215,9.5,6.8,83.5,5.3,2.7,1017.1,1.2,0.0
2017-01-02 01:00:00,128.5286184,89.1758806,42.577346999999996,94.69353000000001,10.2,6.9,84.1,5.8,3.9,1015.9,1.8,0.0
2017-01-02 02:00:00,125.86925259999998,88.1238307,42.395555,97.90985,10.0,5.3,85.5,7.8,5.8,1015.0,1.1,0.0
2017-01-02 03:00:00,126.8868692,87.7779199,42.2406385,95.432934,9.8,5.6,87.2,7.3,5.3,1014.5,1.5,0.0
2017-01-02 04:00:00,127.19872620000001,87.1412684,42.4233045,95.6783095,9.9,5.9,86.6,8.8,5.0,1014.0,1.5,0.0
2017-01-02 05:00:00,126.4075722,96.36708359999999,45.7995665,96.260175,10.0,5.6,84.8,9.1,5.6,1013.3,1.5,0.0
