,,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,1,74.897706,75.17355649999998,74.2081752,73.7358886,75.1023508,75.7873,77.6023772,78.4381374,79.3300222,79.1734842,79.9118854,79.9960723,78.9804843,80.4000167,82.9294417,84.2287071,84.272805,85.5831426,85.15858100000001,86.1590879,87.6857152,86.0090405,87.44747199999998,88.2941135
2017-01-02,2,87.3963108,89.1758806,88.1238307,87.7779199,87.1412684,96.3670836,109.7333289,179.4389367,278.7035005,300.0487931,329.3708422,355.2124025,373.9417924,361.8446503,354.1196909,354.5873959,347.5905291,315.1220662,268.6617787,183.7777119,160.701529,136.6553832,133.1861575,129.418746
2017-01-03,2,128.49192649999998,122.64924109999998,121.5198767,120.8690986,119.5690696,124.449619,135.9032372,186.6402574,288.85842599999995,333.298037,371.8474285,348.5484653,347.62584560000016,335.241399,341.1354365,342.6078482,336.0174075,303.4074877,251.3001873,178.63944750000005,145.4654182,118.8631214,111.3487247,110.5564897
2017-01-04,2,107.4486377,96.9098123,95.7558218,95.2963255,93.7840157,95.5133788,114.30309309999998,187.3681591,295.4337856,327.8247431000001,356.0218185,362.9083451,352.1601024,352.8139349,352.6331526,352.9412652,351.7177871,314.3326947,254.9013249,182.3327898,153.3123627,129.53920390000002,126.56250020000002,126.9853437
2017-01-05,2,125.26457109999998,116.5305143,115.8885176,114.5449634,108.230755,100.0873428,120.08621770000002,195.7769223,323.0598791000001,351.8701253,379.2703841,368.4184827,370.947335,366.3978062,364.1465225,369.18322810000006,373.58690930000006,334.7005793,269.3213382,183.6358732,150.459744,131.54079040000002,127.777006,125.16644850000002
2017-01-06,2,121.5030775,113.1790739,111.4048493,110.3318004,109.3484745,115.0976189,115.8717184,191.6840263,314.9857636000001,352.50658589999995,379.0729935,372.17864,376.2327833,360.1339954,352.52491230000015,352.7761367,354.2097957,315.3576368,255.30966,176.1726377,138.4536612,116.5967566,109.4320887,108.7887557
2017-01-07,1,105.0482611,106.5620981,105.9052112,103.48689,101.6548227,98.0057692,95.0731634,103.5615319,113.1876644,110.2615492,119.1935693,120.19064,124.8833438,123.2626028,122.7813439,121.204319,123.1375633,126.287986,123.082775,122.0828408,117.3111044,112.4574719,111.9729677,111.5852498
2017-01-08,1,109.2492065,107.68439920000002,106.2245869,106.6155501,105.6805219,100.8413978,97.3162384,97.1768814,96.0561075,99.2204659,98.9869952,102.4361764,106.6191772,105.9105564,108.6003374,114.6522492,122.284813,129.1845117,128.7446781,128.5894764,124.2884994,122.7288464,119.11415490000002,115.851483
