,,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,0,100.8100005,99.0541345,98.539567,101.4357845,98.4816645,97.805844,94.4647605,94.983261,104.62217,101.36215,104.6009755,106.95575,104.9514495,104.791726,107.381825,103.988083,105.216053,107.87345,105.297772,105.5317855,110.062383,104.160698,100.433525,97.65639
2017-01-02,2,92.2155215,94.69353,97.90985,95.432934,95.6783095,96.260175,104.752833,133.9879145,283.762017,240.998945,263.4928645,280.4191855,279.7964605,276.200169,281.5724285,289.8548895,288.749498,257.0615355,248.6444785,181.6134855,129.322284,111.230047,108.5470855,104.6818205
2017-01-03,2,103.7916515,101.9073075,91.7479315,92.043999,100.4516605,99.002787,111.1909355,140.103948,294.723725,263.7017505,265.3195245,240.3646395,239.125089,237.2938405,253.0376395,238.7123425,241.225748,227.8664395,214.3172545,163.7266385,138.1940395,119.6543145,117.3744855,105.088449
2017-01-04,2,115.5294715,104.092526,102.9076005,99.6797,103.38546,107.459174,114.5995355,147.4422705,181.33315,214.0441295,254.334,252.5547545,252.506903,238.2049855,253.2006405,252.5897145,259.785575,239.788455,208.1431,151.06674850000005,135.600663,115.7029605,109.540605,103.842999
2017-01-05,2,113.875645,113.996694,112.3961815,111.5479645,102.8306885,108.672723,117.6257605,146.875263,176.54363,196.5042605,223.615959,239.3411855,231.6036635,230.0051175,231.4789,248.707188,242.1417,244.740102,209.5919735,167.010475,129.060958,117.928383,109.6395855,113.762462
2017-01-06,2,115.1964775,104.650575,113.686424,108.93099,110.615625,111.899094,113.4379895,147.2823285,182.992002,213.54005,243.860858,257.3674355,253.4138965,231.5188855,244.226627,249.301945,243.1031,232.58888,193.6821145,155.0657355,125.821477,112.8480395,112.035875,112.2253145
2017-01-07,0,103.9157595,104.0979885,103.9550895,101.8609855,100.713642,99.3775145,100.678245,109.4044795,109.0461395,108.840094,106.0998855,105.919623,110.5354355,109.282338,109.43354,105.611975,106.1501405,110.8232,108.545119,107.726181,106.5989395,98.8115995,97.56025,98.0044605
2017-01-08,0,101.313206,97.3664405,95.906642,97.0504895,95.910138,97.0316985,97.5565355,96.5492505,97.4472855,98.5362895,98.3785325,101.3440145,100.174384,98.051875,98.923253,96.697175,97.5246345,98.1067185,97.1925145,99.500967,98.1993625,98.6309,99.687566,98.309705
